"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,genus
133228,100921-2,"CFCC 14287, KCTC 42844",1,"Tsuneonella aeria",Tsuneonella
166461,NS1,"CGMCC 1.13679, NBRC 113553",1,"Tsuneonella amylolytica",Tsuneonella
140745,THG-S3,"KACC 19190, CGMCC 1.15959",1,"Tsuneonella deserti",Tsuneonella
159780,MS1-4,"MCCC 1K02683, NBRC 112977",1,"Tsuneonella flava",Tsuneonella
158561,C9-11,"MCCC 1K03311, JCM 32056",1,"Tsuneonella mangrovi",Tsuneonella
140815,WW3,"KCTC 42620, JCM 30975",1,"Tsuneonella rigui",Tsuneonella
133807,,"KCTC 12303, JCM 17037, KMM 6042",1,"Tsuneonella troitsensis",Tsuneonella
158214,"Utrecht P40","DSM 107003, CCAP 1403/1B, PCC 6309, SAG 1403-4b, ATCC 29211, CCAP 1403/4B",0,"Trichormus variabilis",Trichormus
171160,"CIMB 04-9430",CRBIP17.20,0,"Trueperella bernardiae",Trueperella
171161,"CIMB 04-8791",CRBIP17.21,0,"Trueperella bernardiae",Trueperella
24054,,"DSM 45413, CCTCC AA 209045, KCTC 19998, YIM 68236, JCM 17896, JCM 31483",1,"Trujillonella endophytica",Trujillonella
2575,I50,"CCUG 46310, CCUG 45854, DSM 1551, ATCC 29902, NCTC 11210, JCM 1397, BCRC 14465, CCM 6166",1,"Thomasclavelia cocleata",Thomasclavelia
143917,,"CCUG 21839",0,"Tissierella praeacuta",Tissierella
143918,,"CCUG 21840",0,"Tissierella praeacuta",Tissierella
2653,113-I,"CCUG 24038, DSM 1402, ATCC 25582, NCIB 10673, VPI 0427, JCM 1298, BCRC 14518, KCTC 3323, NCIMB 10673, NCTC 11812",1,"Thomasclavelia ramosa",Thomasclavelia
150967,,"CCUG 42893",0,"Thomasclavelia ramosa",Thomasclavelia
151816,,"CCUG 44972",0,"Thomasclavelia ramosa",Thomasclavelia
151840,,"CCUG 45030",0,"Thomasclavelia ramosa",Thomasclavelia
130927,SRB509-5-F-B,"DSM 29357",0,"Thomasclavelia ramosa",Thomasclavelia
130926,PG-426-CC.8.1,"DSM 29355",0,"Thomasclavelia ramosa",Thomasclavelia
152520,,"CCUG 46995",0,"Thomasclavelia ramosa",Thomasclavelia
165123,,"JCM 5235, ATCC 13937, NCTC 10474",0,"Thomasclavelia ramosa",Thomasclavelia
148490,,"CCUG 35540",0,"Thomasclavelia ramosa",Thomasclavelia
148608,,"CCUG 35705",0,"Thomasclavelia ramosa",Thomasclavelia
154479,,"CCUG 53777",0,"Thomasclavelia ramosa",Thomasclavelia
139728,8/2/54BFAA,"DSM 24812, BEI HM-176",0,"Thomasclavelia ramosa",Thomasclavelia
2834,SDG-Mt85-3Db,"DSM 17460, CCUG 51486",1,"Thomasclavelia saccharogumia",Thomasclavelia
2706,,"DSM 1552, ATCC 29900, NCTC 11211, VPI C28-23-1A, JCM 1432, BCRC 14526, CCM 6168, CECT 4322, CIP 106966, AIP 10141",1,"Thomasclavelia spiroformis",Thomasclavelia
134603,,"CIP 106981",0,"Thomasclavelia spiroformis",Thomasclavelia
139184,Jasmin,"CIP 104680, ATCC 14124",0,"Thermococcus fumicolans",Thermococcus
132595,B4199,"DSM 100830, CCUG 67636",1,"Thiopseudomonas alkaliphila",Thiopseudomonas
156964,,"CCUG 67637",0,"Thiopseudomonas alkaliphila",Thiopseudomonas
11298,2O1,"DSM 24913, BTCC B-675, NBRC 105760, CIP 110300",1,"Thalassolituus maritimus",Thalassolituus
146011,,"CCUG 30157, ATCC 31624, JCM 8883, CCM 4321, NCPPB 3818",0,"Tatumella punctata",Tatumella
146012,,"CCUG 30158, ATCC 31625, JCM 8884, CCM 4322, NCPPB 3819",0,"Tatumella punctata",Tatumella
146013,,"CCUG 30160, ATCC 31627, JCM 8886, CCM 4323, NCPPB 3821",0,"Tatumella punctata",Tatumella
146014,,"CCUG 30162, ATCC 31629, JCM 8888, CCM 4325, NCPPB 3823",0,"Tatumella terrea",Tatumella
146015,,"CCUG 30163, ATCC 31630, JCM 8889, CCM 4326, NCPPB 3824",0,"Tatumella terrea",Tatumella
146016,,"CCUG 30164, ATCC 31631",0,"Tatumella terrea",Tatumella
158225,SF-16,"DSM 108665, KCTC 42910, MCCC 1K01155",1,"Tropicimonas marinistellae",Tropicimonas
164151,,"JCM 31893, KCTC 72206, MCC 4339",1,"Tabrizicola algicola",Tabrizicola
166256,DJC,"CICC 24242, KCTC 62173",1,"Tabrizicola alkalilacus",Tabrizicola
161997,RCRI19,"JCM 17277, KCTC 23724, LMG 25773, UCCCB39, BCCM/LMG 25773",1,"Tabrizicola aquatica",Tabrizicola
158663,SY72,"KCTC 62105, NBRC 113021",1,"Tabrizicola fusiformis",Tabrizicola
166694,KMS-5,"BCRC 81196, LMG 31337",1,"Tabrizicola oligotrophica",Tabrizicola
164489,,"JCM 33230, KCTC 62659",1,"Tabrizicola piscis",Tabrizicola
170088,J26,"KCTC 92112, GDMCC 1.2843",1,"Tabrizicola rongguiensis",Tabrizicola
166147,DRYC-M-16,"CGMCC 1.13881, KCTC 72015",1,"Tabrizicola sediminis",Tabrizicola
140615,MM-8,"NBRC 112238, KCTC 52209",1,"Taeania maliponensis",Taeania
169065,HME8275,"KACC 16933, CECT 8198",1,"Taeseokella kangwonensis",Taeseokella
140937,TT1,"JCM 18659, BCRC 80493",1,"Tagaea marina",Tagaea
170552,W38,"JCM 35749, KACC 22832",1,"Tahibacter amnicola",Tahibacter
23346,PYM5-11,"DSM 21667, NCAIM B 02337",1,"Tahibacter aquaticus",Tahibacter
168009,BUT-6,"CCTCC AB 2013266, KACC 17139",1,"Tahibacter caeni",Tahibacter
170553,P2K,"JCM 35231, GDMCC 1.3107",1,"Tahibacter harae",Tahibacter
131283,AY17,"DSM 27988, CGMCC 1.12700, JCM 19637",1,"Taibaiella chishuiensis",Taibaiella
140869,TZCO2,"NCAIM B 02601, CCM 8601",1,"Taibaiella coffeisoli",Taibaiella
168818,F-4,"CGMCC 1.13562, KCTC 62442",1,"Taibaiella helva",Taibaiella
162308,,"JCM 18823, KACC 17171",1,"Taibaiella koreensis",Taibaiella
134026,PTJT-5,"CCTCC AB 2013017, KCTC 32316",1,"Taibaiella smilacinae",Taibaiella
140520,T1-10,"JCM 31014, KCTC 42277",1,"Taibaiella soli",Taibaiella
