ID,designation_header,strain_number_header,is_type_strain_header,species,genus
159652,R-68213,"DSM 105287, LMG 29911",1,"Abditibacterium utsteinense",Abditibacterium
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,"Abiotrophia defectiva",Abiotrophia
145174,,"CCUG 27808",0,"Abiotrophia defectiva",Abiotrophia
150039,,"CCUG 38904",0,"Abiotrophia defectiva",Abiotrophia
152516,,"CCUG 46990 B",0,"Abiotrophia defectiva",Abiotrophia
155432,,"CCUG 57749",0,"Abiotrophia defectiva",Abiotrophia
146761,,"CCUG 32076",0,"Abiotrophia defectiva",Abiotrophia
147157,,"CCUG 32966 B",0,"Abiotrophia defectiva",Abiotrophia
152179,,"CCUG 45983",0,"Abiotrophia defectiva",Abiotrophia
152186,,"CCUG 46001",0,"Abiotrophia defectiva",Abiotrophia
150104,,"CCUG 38998",0,"Abiotrophia defectiva",Abiotrophia
149662,,"CCUG 38140",0,"Abiotrophia defectiva",Abiotrophia
150539,,"CCUG 41537",0,"Abiotrophia defectiva",Abiotrophia
145313,,"CCUG 28152",0,"Abiotrophia defectiva",Abiotrophia
144952,,"CCUG 27280 A",0,"Abiotrophia defectiva",Abiotrophia
154929,,"CCUG 55745",0,"Abiotrophia defectiva",Abiotrophia
155940,,"CCUG 59700",0,"Abiotrophia defectiva",Abiotrophia
152552,,"CCUG 47045",0,"Abiotrophia defectiva",Abiotrophia
153374,,"CCUG 49368",0,"Abiotrophia defectiva",Abiotrophia
145981,,"CCUG 30076",0,"Abiotrophia defectiva",Abiotrophia
154020,,"CCUG 52016",0,"Abiotrophia defectiva",Abiotrophia
156779,,"CCUG 65103",0,"Abiotrophia defectiva",Abiotrophia
148055,,"CCUG 34739",0,"Abiotrophia defectiva",Abiotrophia
150280,,"CCUG 39479",0,"Abiotrophia defectiva",Abiotrophia
135892,C4,"CIP 103892",0,"Abiotrophia defectiva",Abiotrophia
152579,,"CCUG 47112",0,"Abiotrophia defectiva",Abiotrophia
150286,,"CCUG 39499",0,"Abiotrophia defectiva",Abiotrophia
147409,,"CCUG 33542",0,"Abiotrophia defectiva",Abiotrophia
149983,,"CCUG 38793",0,"Abiotrophia defectiva",Abiotrophia
155280,,"CCUG 57181",0,"Abiotrophia defectiva",Abiotrophia
135893,PE7,"CIP 103893, ATCC 700209",0,"Abiotrophia defectiva",Abiotrophia
135894,D5,"CIP 103894",0,"Abiotrophia defectiva",Abiotrophia
135184,,"CIP 103895",0,"Abiotrophia defectiva",Abiotrophia
145171,,"CCUG 27805",0,"Abiotrophia defectiva",Abiotrophia
148519,,"CCUG 35584",0,"Abiotrophia defectiva",Abiotrophia
145172,,"CCUG 27806",0,"Abiotrophia defectiva",Abiotrophia
149144,,"CCUG 36937",0,"Abiotrophia defectiva",Abiotrophia
145173,,"CCUG 27807",0,"Abiotrophia defectiva",Abiotrophia
150007,,"CCUG 38830",0,"Abiotrophia defectiva",Abiotrophia
146223,,"CCUG 30642",0,"Abiotrophia defectiva",Abiotrophia
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,"Absicoccus porci",Absicoccus
170183,MT3330,"MCCC 1K06012, KCTC 82823",1,"Abyssalbus ytuae",Abyssalbus
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",Abyssibacter
170673,960558,"MCCC 1K04727, KCTC 82619",1,"Abyssibius alkaniclasticus",Abyssibius
132558,,"DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,"Abyssicoccus albus",Abyssicoccus
164056,,"JCM 31420, KCTC 15524",1,"Abyssisolibacter fermentans",Abyssisolibacter
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",Vallitalea
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",Acanthopleuribacter
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",Acaricomes
160325,SAP-6,"DSM 104038, KCTC 52622",1,"Acerihabitans arboris",Acerihabitans
134101,Z7,"JCM 12359, AS 1.5012",1,"Acetanaerobacterium elongatum",Acetanaerobacterium
132028,"Sanger 05","DSM 102114",0,"Acetanaerobacterium sp.",Acetanaerobacterium
169741,"CLA-AA-M01, SCP101-BHI2-D7","DSM 110981",0,"Acetatifactor aquisgranensis",Acetatifactor
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,"Acetatifactor muris",Acetatifactor
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",Acetilactobacillus
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,"Acetitomaculum ruminis",Acetitomaculum
2764,P-1,"DSM 6159, ATCC 49358, OCM 112",1,"Acetivibrio aldrichii",Acetivibrio
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Clostridium alkalicellulosi",Clostridium
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,"Acetivibrio cellulolyticus",Acetivibrio
100649,"STI25003(IMET), H112",,0,"Acetivibrio cellulolyticus",Acetivibrio
100650,"STI25004(IMET), H113",,0,"Acetivibrio cellulolyticus",Acetivibrio
169880,"BAS, NRC 2936","ATCC 35928",0,"Acetivibrio cellulolyticus",Acetivibrio
