ID,designation_header,strain_number_header,is_type_strain_header,species,genus
157979,HS 140,DSM 29714,0,Bacillus pseudalcaliphilus,Bacillus
1104,"DP 100, PN 132",DSM 9713,0,Bacillus pseudalcaliphilus,Bacillus
1105,"J 463, PN 135",DSM 9714,0,Bacillus pseudalcaliphilus,Bacillus
1106,"DP 155, PN 130",DSM 9763,0,Bacillus pseudalcaliphilus,Bacillus
1558,E1H,"DSM 15340, ATCC 700614, KCTC 5192",1,Bacillus arseniciselenatis,Bacillus
11380,Murayama,"DSM 5562, ATCC 12856, CIP 104007, IAM 1077, IFO 15521, JCM 9024, NBRC 15521, NRS 1589, LMG 15531, LMG 16001, NRRL NRS-1589",1,Bacillus aneurinilyticus,Bacillus
165554,,"JCM 7539, IFO 3115, LMG 16008, NBRC 3115, NRRL B-14624",0,Bacillus aneurinilyticus,Bacillus
159181,WB01-D5-05-AE,DSM 105329,0,Bacillus aneurinilyticus,Bacillus
165986,,"JCM 9023, ATCC 11376, CIP 104323, LMG 12387, LMG 15967, NCIMB 8698, VKM B-437, VKM B-679",0,Bacillus aneurinilyticus,Bacillus
140184,,"DSM 101393, CCY 9406",0,Baaleninema simplex,Baaleninema
134249,,"NRRL B-41736, DSM 18954, CBD 119, CIP 109795",1,Gottfriedia acidiceleris,Gottfriedia
1207,105-2,"DSM 14745, ATCC BAA-366, CIP 109006, NRRL B-23453",1,Heyndrickxia acidicola,Heyndrickxia
136336,,"CIP 104693, But 3",0,Bacillus acidovorans,Bacillus
136337,,"CIP 104694, But 9",0,Bacillus acidovorans,Bacillus
136338,Byl 1,CIP 104695,0,Bacillus acidovorans,Bacillus
139189,Pan 5,CIP 104707,0,Bacillus acidovorans,Bacillus
139190,Pan 6,CIP 104708,0,Bacillus acidovorans,Bacillus
137254,Byl 5,CIP 104699,0,Bacillus acidovorans,Bacillus
138699,Pan 11,CIP 104709,0,Bacillus acidovorans,Bacillus
135136,Pro 1,"CIP 103552, ATCC 51159",0,Bacillus acidovorans,Bacillus
139212,Pan 2,"CIP 103553, ATCC 51158",0,Bacillus acidovorans,Bacillus
139252,Pro 1,CIP 104710,0,Bacillus acidovorans,Bacillus
139253,Cro 2,CIP 104712,0,Bacillus acidovorans,Bacillus
136259,Byl 4,CIP 104698,0,Bacillus acidovorans,Bacillus
139126,Byl 8,CIP 104702,0,Bacillus acidovorans,Bacillus
136289,Byl 2,CIP 104696,0,Bacillus acidovorans,Bacillus
139131,Pan 4,CIP 104706,0,Bacillus acidovorans,Bacillus
136297,Byl 6,CIP 104700,0,Bacillus acidovorans,Bacillus
135948,Pan 1,CIP 104704,0,Bacillus acidovorans,Bacillus
