ID,designation_header,strain_number_header,is_type_strain_header,species,genus
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Clostridium alkalicellulosi",Clostridium
166902,16-35-5,"CCTCC AB 2019325, KCTC 72915",1,"Comamonas antarctica",Comamonas
170143,"SYSU M10002","KCTC 52944, NBRC 112961",0,"Chakrabartia godavariana",Chakrabartia
131265,26DY36,"DSM 100738, CGMCC 1.12411, JCM 18865",1,"Croceibacterium atlanticum",Croceibacterium
133411,XY-R17,"KCTC 52267, MCCC 1K01500",1,"Croceibacterium salegens",Croceibacterium
133352,MN-1,"KCTC 52135, MCCC 1K02066",1,"Croceibacterium soli",Croceibacterium
140743,S36,"CGMCC 1.12804, NBRC 110413",1,"Croceibacterium xixiisoli",Croceibacterium
167710,"YIM 730274","CCTCC AB 2016295, KCTC 52716",1,"Caldimonas tepidiphila",Caldimonas
166539,Z0201,"KCTC 62450, MCCC 1H00328",1,"Cognataquiflexum aquatile",Cognataquiflexum
145739,,"CCUG 29457, NRRL NRS-794",0,"Cytobacillus firmus",Cytobacillus
145740,,"CCUG 29458, NRRL NRS-769",0,"Cytobacillus firmus",Cytobacillus
156340,,"CCUG 61212",0,"Cytobacillus firmus",Cytobacillus
137856,"742-85, 1552","CIP 101880",0,"Cytobacillus firmus",Cytobacillus
153151,,"CCUG 48590",0,"Cytobacillus firmus",Cytobacillus
153388,,"CCUG 49421",0,"Cytobacillus firmus",Cytobacillus
157217,,"CCUG 70650",0,"Cytobacillus kochii",Cytobacillus
162182,,"JCM 18069, KEMC 7302-068",0,"Caballeronia humi",Caballeronia
141015,R-52627,"CCUG 68405, LMG 29324, CIP 111007",1,"Caballeronia arationis",Caballeronia
141016,"R-50208, MAN34","LMG 29317, CCUG 68412, CIP 111001",1,"Caballeronia arvi",Caballeronia
141017,R-51042,"LMG 29321, CCUG 68408, CIP 111005",1,"Caballeronia calidae",Caballeronia
141018,R-50699,"LMG 29318, CCUG 68411, CIP 111002",1,"Caballeronia catudaia",Caballeronia
156584,,"CCUG 63063, LMG 22940",1,"Caballeronia choica",Caballeronia
