ID,designation_header,strain_number_header,is_type_strain_header,species,genus
23587,,"DSM 4338",0,"Domibacillus aminovorans",Domibacillus
589,7am,"DSM 6805",0,"Domibacillus aminovorans",Domibacillus
23588,,"DSM 4339",0,"Domibacillus aminovorans",Domibacillus
23589,,"DSM 4340",0,"Domibacillus aminovorans",Domibacillus
23590,,"DSM 4341",0,"Domibacillus aminovorans",Domibacillus
23591,,"DSM 4342",0,"Domibacillus aminovorans",Domibacillus
23592,,"DSM 4343",0,"Domibacillus aminovorans",Domibacillus
23593,,"DSM 4345",0,"Domibacillus aminovorans",Domibacillus
23594,,"DSM 4346",0,"Domibacillus aminovorans",Domibacillus
23595,,"DSM 4347",0,"Domibacillus aminovorans",Domibacillus
23596,,"DSM 4348",0,"Domibacillus aminovorans",Domibacillus
23597,,"DSM 4334",0,"Domibacillus aminovorans",Domibacillus
23598,,"DSM 4335",0,"Domibacillus aminovorans",Domibacillus
23599,,"DSM 4336",0,"Domibacillus aminovorans",Domibacillus
577,,"DSM 1314, NCIB 8292, NRS 341, CIP 103264, ATCC 7046, NRRL : NRS-341",0,"Domibacillus aminovorans",Domibacillus
578,"PM 6","DSM 1782, NCIB 10492",0,"Domibacillus aminovorans",Domibacillus
579,S2A1,"DSM 1795, NCIB 11343",0,"Domibacillus aminovorans",Domibacillus
580,,"DSM 4332",0,"Domibacillus aminovorans",Domibacillus
581,,"DSM 4333",0,"Domibacillus aminovorans",Domibacillus
582,,"DSM 4337",0,"Domibacillus aminovorans",Domibacillus
583,,"DSM 4489",0,"Domibacillus aminovorans",Domibacillus
584,1am,"DSM 6800",0,"Domibacillus aminovorans",Domibacillus
585,2am,"DSM 6801",0,"Domibacillus aminovorans",Domibacillus
586,3am,"DSM 6802",0,"Domibacillus aminovorans",Domibacillus
587,5am,"DSM 6803",0,"Domibacillus aminovorans",Domibacillus
588,6am,"DSM 6804",0,"Domibacillus aminovorans",Domibacillus
158327,,"DSM 106972, PCC 7102, SAG 35.79, ATCC 27901",0,"Dulcicalothrix desertica",Dulcicalothrix
7869,D-748,"DSM 43157, ATCC 23491, IFO 12592, IMET 9028, JCM 3083, KCC A-0083, NBRC 12592, RIA 922, BCRC 13312, CBS 621.67, CECT 3288, CGMCC 4.1066, IFM 1208, IMSNU 22001, IMSNU 22064, KCTC 9073, MTCC 500, NCIMB 12887, NRRL B-8018, NRRL B-8111, VKM Ac-654",1,"Dactylosporangium aurantiacum",Dactylosporangium
130442,NEAU-TPG4,"DSM 46712, CGMCC 4.7152, JCM 31767",1,"Dactylosporangium cerinum",Dactylosporangium
7876,DLS-44,"DSM 45260, KCTC 19560, JCM 17441, NBRC 109065",1,"Dactylosporangium darangshiense",Dactylosporangium
7873,SF-2113,"DSM 43917, ATCC 43301, IFO 14381, JCM 5631, NBRC 14381, BCRC 13411, CGMCC 4.5629, HUT 6561, IMSNU 22055, KCTC 9356, NRRL B-16292",1,"Dactylosporangium fulvum",Dactylosporangium
7877,BK63,"DSM 45324, KACC 20933, NRRL B-24775",1,"Dactylosporangium luridum",Dactylosporangium
7878,BK51,"DSM 45323, KACC 20899, NRRL B-24774, JCM 17685, NBRC 109092",1,"Dactylosporangium luteum",Dactylosporangium
7875,MW2-25,"DSM 45560, BCC 34832, JCM 15933, NBRC 106094",1,"Dactylosporangium maewongense",Dactylosporangium
7871,,"DSM 43810, ATCC 31570, FERM P-4670, IFO 14259, JCM 3311, KCC A-0311, NBRC 14259, BCRC 13388, IMSNU 20065, KCTC 9546, NCIMB 12890, NRRL B-16293, VKM Ac-1321",1,"Dactylosporangium matsuzakiense",Dactylosporangium
7872,SF-2186,"DSM 43916, IFO 14352, JCM 3364, NBRC 14352, BCRC 13414, IMSNU 20066, KCTC 9357, NRRL B-16295",1,"Dactylosporangium roseum",Dactylosporangium
7879,"FD 25647","DSM 43910, ATCC 31222, IFO 14103, JCM 3272, KCC A-0272, NBRC 14103, NRRL B-16294, BCRC 12481, IMSNU 20067",1,"Dactylosporangium salmoneum",Dactylosporangium
24209,MW4-36,"DSM 46705, BCC 34901, NBRC 106093, JCM 15934",1,"Dactylosporangium siamense",Dactylosporangium
132599,NEAU-FJL2,"DSM 100814, CGMCC 4.7302, JCM 32490",1,"Dactylosporangium solaniradicis",Dactylosporangium
128700,ST027452(HKI),,0,"Dactylosporangium sp.",Dactylosporangium
159617,RY35-23,"DSM 111298, JCM 19831, PCU 333, TISTR 2212",1,"Dactylosporangium sucinum",Dactylosporangium
7870,D-449,"DSM 43158, ATCC 23490, IFO 12593, KCC A-0084, NBRC 12593, JCM 3084, BCRC 13643, CBS 620.67, CGMCC 4.1156, CGMCC 4.5628, IFM 1209, IMET 9029, IMSNU 20068, KCTC 9358, NCIMB 12749, RIA 923, VKM Ac-655",1,"Dactylosporangium thailandense",Dactylosporangium
7880,"KB 2-4","DSM 45792, BCC 34760, JCM 15673, NBRC 109071",1,"Dactylosporangium tropicum",Dactylosporangium
7874,SF-2127,"DSM 43823, ATCC 35207, IFO 14181, JCM 3307, KCC A-0307, NBRC 14181, NCIMB 12891, BCRC 13327, HUT 6560, IMSNU 22056, KCTC 9359, NRRL B-16297, VKM Ac-1322",1,"Dactylosporangium vinaceum",Dactylosporangium
1904,K107,"DSM 21779, CCUG 54520, KCTC 12981",1,"Daeguia caeni",Daeguia
167783,M1-27,"LMG 28205, CCTCC AB 2012936",1,"Daejeonella huanghensis",Daejeonella
24548,"N7d-4, P-2","DSM 22385, KCTC 22699, JCM 16318",1,"Daejeonella lutea",Daejeonella
14114,N7,"DSM 19973, KACC 12821",1,"Daejeonella oryzae",Daejeonella
23258,W1,"DSM 24536, CIP 110258, LMG 26240",1,"Daejeonella rubra",Daejeonella
140959,NP5,"KACC 18626, LMG 29198",1,"Daejeonia ginsenosidivorans",Daejeonia
163835,,"JCM 30602, KACC 18533",1,"Dankookia rubra",Dankookia
17908,SE12,"DSM 21967, JCM 13441, KCTC 12566, KOPRI 20902",1,"Dasania marina",Dasania
170653,GY-18,"KCTC 92290, GDMCC 1.3586",1,"Dasania phycosphaerae",Dasania
13894,CKB,"DSM 13637, ATCC 700666",1,"Dechloromonas agitata",Dechloromonas
13895,ED1,"DSM 15892, ATCC BAA-841, CIP 109443",1,"Dechloromonas denitrificans",Dechloromonas
13896,MA-1,"DSM 15637, ATCC BAA-776",1,"Dechloromonas hortensis",Dechloromonas
130650,A34,"DSM 23276",0,"Dechloromonas sp.",Dechloromonas
10516,Nsw-4,"DSM 24713, BCRC 17934, LMG 24817",1,"Deefgea chitinilytica",Deefgea
10515,,"DSM 18356, WB 3.4-79, CIP 109326",1,"Deefgea rivuli",Deefgea
10514,,"DSM 18355, WB 3.3-25",0,"Deefgea rivuli",Deefgea
170003,H3-26,"CICC 25103, JCM 35050",1,"Deefgea salmonis",Deefgea
3844,JR,"DSM 14873, JCM 11955",1,"Deferribacter abyssi",Deferribacter
3843,DR,"DSM 14928",0,"Deferribacter abyssi",Deferribacter
3845,SL50,"DSM 21529, VKPM B-10097",1,"Deferribacter autotrophicus",Deferribacter
3841,SSM1,"DSM 14783, JCM 11476, NBRC 101012",1,"Deferribacter desulfuricans",Deferribacter
3842,BMA,"DSM 14813, ACM 5093",1,"Deferribacter thermophilus",Deferribacter
18151,S3R1,"DSM 24185, VKM B-2672",1,"Deferrisoma camini",Deferrisoma
132415,MAG-PB1,"DSM 29363, JCM 30394",1,"Deferrisoma palaeochoriense",Deferrisoma
170482,Es71-Z0220,"VKM B-3557, JCM 39245",1,"Deferrivibrio essentukiensis",Deferrivibrio
133635,,"CIP 107350, NCIMB 13612, Ben 114",1,"Defluviicoccus vanus",Defluviicoccus
138797,,,0,"Defluviicoccus vanus",Defluviicoccus
133959,BS14,"KACC 16442, JCM 18630",1,"Defluviimonas aestuarii",Defluviimonas
168720,CDM-7,"KCTC 42108, CECT 8626",1,"Defluviimonas aquaemixtae",Defluviimonas
13862,D9-3,"DSM 18921, ATCC BAA-1447",1,"Defluviimonas denitrificans",Defluviimonas
13863,D11-58,"DSM 19039, ATCC BAA-1448",0,"Defluviimonas denitrificans",Defluviimonas
140990,DL5-4,"MCCC 1A06955, LMG 29616",1,"Defluviimonas nitratireducens",Defluviimonas
158779,PrR001,"CICC 24263, KCTC 62192",1,"Acidimangrovimonas pyrenivorans",Acidimangrovimonas
170675,FT324,"KCTC 92477, MCCC 1K07685",1,"Defluviimonas sediminis",Defluviimonas
163810,,"JCM 30481, CGMCC 1.5199",1,"Defluviitalea phaphyphila",Defluviitalea
140265,A6,"DSM 28090, ACCC 19951",1,"Defluviitalea raffinosedens",Defluviitalea
17884,"6LT2, LIND6LT2","DSM 22681, JCM 16312",1,"Defluviitalea saccharophila",Defluviitalea
17074,"Rsulflac1, Sulflac1","DSM 23805, JCM 17210",1,"Defluviitoga tunisiensis",Defluviitoga
130829,L3,"DSM 29926",0,"Defluviitoga tunisiensis",Defluviitoga
11761,PER-K23,"DSM 9455",1,"Dehalobacter restrictus",Dehalobacter
133751,195,"ATCC BAA-2266, KCTC 15142",1,"Dehalococcoides mccartyi",Dehalococcoides
133898,IP3-3,"JCM 17062, NRRL B-59545",1,"Dehalogenimonas alkenigignens",Dehalogenimonas
170766,GP,"CGMCC 1.17861, JCM 39172",1,"Dehalogenimonas etheniformans",Dehalogenimonas
140462,NSZ-14,"HAMBI 3672, JCM 19277, VKM B-3058",1,"Dehalogenimonas formicexedens",Dehalogenimonas
133531,BL-DC-9,"ATCC BAA-1523, JCM 15061",1,"Dehalogenimonas lykanthroporepellens",Dehalogenimonas
150316,,"CCUG 39620",0,"Deinococcus sp.",Deinococcus
3901,"K-bf-PMWA-4.1, K4.1","DSM 21458, HAMBI 2721",1,"Deinobacterium chartae",Deinobacterium
141115,BM2,"KEMB 5401-184, JCM 30700",1,"Deinococcus actinosclerus",Deinococcus
163861,,"JCM 30701",0,"Deinococcus actinosclerus",Deinococcus
163862,,"JCM 30702",0,"Deinococcus actinosclerus",Deinococcus
3894,TR0125,"DSM 21212, CIP 110035, JCM 11750",1,"Deinococcus aerius",Deinococcus
3897,5516T-9,"DSM 24781, JCM 15442, KACC 12745, CIP 110188",1,"Deinococcus aerolatus",Deinococcus
3898,5516T-11,"DSM 24869, JCM 15443, KACC 12746, CIP 110189",1,"Deinococcus aerophilus",Deinococcus
169958,"SYSU M49105","CGMCC 1.18609, KCTC 43258",1,"Deinococcus aestuarii",Deinococcus
3896,ST0316,"DSM 21230, JCM 11751",1,"Deinococcus aetherius",Deinococcus
134316,ME-04-04-52,"LMG 24283, NRRL B-41948",1,"Deinococcus alpinitundrae",Deinococcus
134315,ME-04-01-32,"LMG 24022, NRRL B-41947",1,"Deinococcus altitudinis",Deinococcus
158664,ID0501,"KACC 19286, NBRC 112889",1,"Deinococcus aluminii",Deinococcus
132941,G3-6-20,"DSM 27864, CCTCC AB 2013263",1,"Deinococcus antarcticus",Deinococcus
3873,KR-36,"DSM 19763, LMG 22135, NRRL B-23948, CCUG 56028",1,"Deinococcus apachensis",Deinococcus
3872,KR-55,"DSM 18008, LMG 22136, NRRL B-23950",0,"Deinococcus apachensis",Deinococcus
169959,"SYSU M42101","CGMCC 1.18614, KCTC 43257",1,"Deinococcus aquaedulcis",Deinococcus
3882,PB314,"DSM 18376, KCTC 12552, NBRC 101311",1,"Deinococcus aquaticus",Deinococcus
3891,"MIFE 35041/06","DSM 23025, CCM 7524, CCUG 53370",1,"Deinococcus aquatilis",Deinococcus
154434,,"CCUG 53612, JCM 14371, NBRC 102118",1,"Deinococcus aquiradiocola",Deinococcus
169960,HMF7620,"NBRC 113959, KCTC 43051",1,"Deinococcus arboris",Deinococcus
166257,OD32,"KCTC 33972, CICC 24671",1,"Deinococcus arcticus",Deinococcus
163938,,"JCM 31047, KCTC 33741",1,"Deinococcus arenae",Deinococcus
169961,HMF7604,"KCTC 43354, NBRC 115489",1,"Deinococcus betulae",Deinococcus
133034,FeSTC15-38,"DSM 101791, NCAIM B.02630",1,"Deinococcus budaensis",Deinococcus
3881,Ho-08,"DSM 18373, KCTC 12553, NBRC 101312",1,"Deinococcus caeni",Deinococcus
140103,MA1003,"DSM 105435, KACC 17965, NBRC 110142",1,"Deinococcus carri",Deinococcus
166739,K2S05-­167,"CGMCC 1.13537, KCTC 43236",1,"Deinococcus cavernae",Deinococcus
3888,5516J-15,"DSM 18568, CIP 109796, KACC 11606",1,"Deinococcus cellulosilyticus",Deinococcus
130276,,"DSM 24791, KCTC 13793, NCCP 154, JCM 19024",1,"Deinococcus citri",Deinococcus
134314,PO-04-19-125,"LMG 24282, NRRL B-41949",1,"Deinococcus claudionis",Deinococcus
3900,"MJ27, B-17D","DSM 26465, JCM 16918, KCTC 13751",1,"Deinococcus daejeonensis",Deinococcus
22984,TDMA-24,"DSM 27395, CCUG 53609, JCM 14368, NBRC 102115",1,"Deinococcus depolymerans",Deinococcus
3863,VCD115,"DSM 17065, CIP 109153, LMG 22923",1,"Deinococcus deserti",Deinococcus
3864,VCD117,"DSM 17066",0,"Deinococcus deserti",Deinococcus
166403,H1,"CGMCC 1.13938, JCM 33291",1,"Deinococcus detaillensis",Deinococcus
130277,NI0-1023,"DSM 25127, NCIM 5456",1,"Deinococcus enclensis",Deinococcus
3885,CC-FR2-10,"DSM 19119, CCUG 51391, CIP 108832, CCUG 53391",1,"Deinococcus ficus",Deinococcus
3884,"CON-1, uk","DSM 17424, CIP 109231, MTCC 7297, CCUG 55997",0,"Deinococcus ficus",Deinococcus
158506,FeSDHB5-19,"DSM 106917, NCAIM B.02639",1,"Deinococcus fonticola",Deinococcus
3866,AA-692,"DSM 12807, CIP 109230, NRRL B-41046",1,"Deinococcus frigens",Deinococcus
3867,AA-752,"DSM 15993, CIP 109041, NRRL B-41045",0,"Deinococcus frigens",Deinococcus
3868,AA-829,"DSM 15994, NRRL B-41044",0,"Deinococcus frigens",Deinococcus
3855,AG-3a,"DSM 11300, CIP 105573",1,"Deinococcus geothermalis",Deinococcus
152505,,"CCUG 46964",0,"Deinococcus geothermalis",Deinococcus
156184,,"CCUG 60645",0,"Deinococcus geothermalis",Deinococcus
153499,,"CCUG 49777",0,"Deinococcus geothermalis",Deinococcus
3856,AG-5a,"DSM 11301",0,"Deinococcus geothermalis",Deinococcus
3857,RSPS-2a,"DSM 11302",0,"Erythrobacter sanguineus",Erythrobacter
3893,I-0,"DSM 21396, CGMCC 1.7299, JCM 16679",1,"Deinococcus gobiensis",Deinococcus
3847,"KS 0485","DSM 3963, ATCC 43672, IAM 13005, JCM 6269, CCM 3997, NBRC 101905, NCIMB 13225",1,"Deinococcus grandis",Deinococcus
3848,"KS 0460","DSM 3964, IAM 13006, JCM 6270, CCM 3998",0,"Deinococcus grandis",Deinococcus
3849,"KS 0488","DSM 3965, IAM 13007, JCM 6271",0,"Deinococcus grandis",Deinococcus
3850,"KS 0492","DSM 3966, IAM 13008, JCM 6272, CCM 3999",0,"Deinococcus grandis",Deinococcus
161567,,"JCM 15082, CGMCC 1.7045, CICC 10360",1,"Deinococcus guangxiensis",Deinococcus
