ID,designation_header,strain_number_header,is_type_strain_header,species,genus
166186,,"KCTC 33954, CGMCC 1.13871, SYSU K30001",1,"Ectobacillus antri",Ectobacillus
134653,NAF002,"CIP 107490, JCM 11493",0,"Ectobacillus funiculus",Ectobacillus
134281,YN-1,"JCM 14604, NCIMB 14282, LMG 24733",1,"Evansella polygoni",Evansella
130178,MNA-4,"DSM 22424, CCM 7584",0,"Edaphobacillus lindanitolerans",Edaphobacillus
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,"Evansella tamaricis",Evansella
144741,,"CCUG 26440",0,"Exiguobacterium acetylicum",Exiguobacterium
143559,,"CCUG 20094",0,"Enterocloster bolteae",Enterocloster
153895,,"CCUG 51547",0,"Enterocloster bolteae",Enterocloster
156687,,"CCUG 64140",0,"Enterocloster bolteae",Enterocloster
137457,90B7,"CIP 110255",0,"Enterocloster bolteae",Enterocloster
137458,90B8,"CIP 110256",0,"Enterocloster bolteae",Enterocloster
138416,90A9,"CIP 110242",0,"Enterocloster bolteae",Enterocloster
137454,CM201,"CIP 110263",0,"Enterocloster clostridioformis",Enterocloster
149715,,"CCUG 38271",0,"Enterocloster clostridioformis",Enterocloster
151642,,"CCUG 44508",0,"Enterocloster clostridioformis",Enterocloster
134713,90A2,"CIP 110243",0,"Enterocloster clostridioformis",Enterocloster
147526,,"CCUG 33742",0,"Enterocloster clostridioformis",Enterocloster
155427,,"CCUG 57731",0,"Enterocloster clostridioformis",Enterocloster
155441,,"CCUG 57768",0,"Enterocloster clostridioformis",Enterocloster
145459,,"CCUG 28596",0,"Enterocloster clostridioformis",Enterocloster
138808,90A3,"CIP 110246",0,"Enterocloster clostridioformis",Enterocloster
138809,90A8,"CIP 110249",0,"Enterocloster clostridioformis",Enterocloster
138810,90A7,"CIP 110239",0,"Enterocloster clostridioformis",Enterocloster
137022,90A6,"CIP 110240",0,"Enterocloster clostridioformis",Enterocloster
138811,90B1,"CIP 110244",0,"Enterocloster clostridioformis",Enterocloster
135553,90A1,"CIP 110245",0,"Enterocloster clostridioformis",Enterocloster
149505,,"CCUG 37870",0,"Enterocloster clostridioformis",Enterocloster
3857,RSPS-2a,"DSM 11302",0,"Erythrobacter sanguineus",Erythrobacter
167611,HMD3054,"CECT 7682, KCTC 23122",1,"Echinicola jeungdonensis",Echinicola
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,"Echinicola pacifica",Echinicola
140501,JL3085,"NBRC 111782, CGMCC 1.15407",1,"Echinicola rosea",Echinicola
167160,P51,"KCTC 82513, MCCC 1K04413",1,"Echinicola salinicaeni",Echinicola
140384,001-Na2,"DSM 103729, KCTC 52495, JCM 31786",1,"Echinicola sediminis",Echinicola
140406,AK12,"DSM 24933, JCM 17847, MTCC 11083",0,"Echinicola shivajiensis",Echinicola
168563,LN3S3,"KCTC 72458, CGMCC 1.17081",1,"Echinicola soli",Echinicola
133368,,"MEBiC 08714, KCTC 52052, JCM 31307",1,"Echinicola strongylocentroti",Echinicola
17718,,"DSM 17526, CIP 109902, LMG 23754, KMM 6221",1,"Echinicola vietnamensis",Echinicola
169010,,"LMG 25420, DSM 100573, KMM 6351, KCTC 22996",1,"Echinimonas agarilytica",Echinimonas
1210,NAF001,"DSM 15141, CIP 107128, JCM 11201, KCTC 3796",1,"Ectobacillus funiculus",Ectobacillus
1269,,"DSM 19096, CCUG 52470, Gsoil 1517, KCTC 13929, LMG 23408, CIP 109496",1,"Ectobacillus panaciterrae",Ectobacillus
166792,T515,"KEMB 9005-168, NBRC 110614, KACC 18242",1,"Ectobacillus polymachus",Ectobacillus
170441,"SYSU M60031","NBRC 115614, CGMCC 1.19243",1,"Ectobacillus ponti",Ectobacillus
4302,M9,"DSM 15479, UNIQEM U217",1,"Ectothiorhodosinus mongolicus",Ectothiorhodosinus
169094,"BN 9903","ATCC 51935",1,"Ectothiorhodospira haloalkaliphila",Ectothiorhodospira
4280,B7-7,"DSM 22250, VKM B-2537",1,"Ectothiorhodospira magna",Ectothiorhodospira
4278,"BA 1010","DSM 241",1,"Ectothiorhodospira marina",Ectothiorhodospira
4274,"BA 1011 (710)","DSM 242",0,"Ectothiorhodospira marina",Ectothiorhodospira
4270,8112,"DSM 237",1,"Ectothiorhodospira mobilis",Ectothiorhodospira
4271,8113,"DSM 238",0,"Ectothiorhodospira mobilis",Ectothiorhodospira
4272,8115,"DSM 239",0,"Ectothiorhodospira mobilis",Ectothiorhodospira
4273,8815,"DSM 240",0,"Ectothiorhodospira mobilis",Ectothiorhodospira
4275,EG-1,"DSM 4180",0,"Ectothiorhodospira mobilis",Ectothiorhodospira
168780,JA430,"NBRC 105915, KCTC 5805",1,"Ectothiorhodospira salini",Ectothiorhodospira
4276,,"DSM 243, KMMGU N1",1,"Ectothiorhodospira shaposhnikovii",Ectothiorhodospira
4277,"BN 9512","DSM 2111, ATCC 43036",0,"Ectothiorhodospira shaposhnikovii",Ectothiorhodospira
