ID,designation_header,strain_number_header,is_type_strain_header,species,genus
164161,,"JCM 31945",0,"Ferroacidibacillus organovorans",Ferroacidibacillus
140832,2W32,"KCTC 42497, CICC 23869",1,"Fodinibius halophilus",Fodinibius
24787,,"DSM 21986, ACCC 10715, KCTC 23442, YIM D15",1,"Fodinibius roseus",Fodinibius
140954,KHM44,"KACC 19060, NBRC 112531",1,"Fodinibius salicampi",Fodinibius
167731,ECH52,"KACC 19126, NBRC 112664",1,"Fodinibius saliphilus",Fodinibius
24788,,"DSM 21194, ACCC 10714, YIM J21",1,"Fodinibius sediminis",Fodinibius
158243,,"DSM 21167, YIM J12",0,"Fodinibius sp.",Fodinibius
140441,FYK2402M11,"DSM 21022, NBRC 102672, NBRC 102677",0,"Flavobacterium degerlachei",Flavobacterium
154586,,"CCUG 54478",0,"Ferdinandcohnia humi",Ferdinandcohnia
161766,,"JCM 16349, KCTC 13279",0,"Fictibacillus rigui",Fictibacillus
170946,"MWH-Creno3D3 t","CIP 111924",1,"Candidatus Flaviluna lacus",Flaviluna
161601,,"JCM 15520",0,"Fundidesulfovibrio butyratiphilus",Fundidesulfovibrio
134177,UST030701-097,"NRRL B-41220, JCM 13334, CIP 109252, DSM 113472",1,"Roseivirga halotolerans",Roseivirga
141117,A4,"KCTC 42507, CGMCC 1.15111",1,"Roseivirga thermotolerans",Roseivirga
166289,,"DSM 103991, KCTC 52556, SYSU SYW-5",1,"Facilibium subflavum",Facilibium
138280,,"CIP 105962, CCUG 36813, CCM 4931",1,"Facklamia hominis",Facklamia
155739,,"CCUG 59179",0,"Facklamia hominis",Facklamia
145447,,"CCUG 28572 B",0,"Facklamia hominis",Facklamia
152159,,"CCUG 45932",0,"Facklamia hominis",Facklamia
145557,,"CCUG 28827",0,"Facklamia hominis",Facklamia
152426,,"CCUG 46765",0,"Facklamia hominis",Facklamia
145559,,"CCUG 28829, LMG 14092",0,"Facklamia hominis",Facklamia
152813,,"CCUG 47680",0,"Facklamia hominis",Facklamia
145560,,"CCUG 28830",0,"Facklamia hominis",Facklamia
138278,7949,"CIP 105963, CCUG 32738, LMG 14693",0,"Facklamia hominis",Facklamia
153445,,"CCUG 49614",0,"Facklamia hominis",Facklamia
156933,,"CCUG 67153",0,"Facklamia hominis",Facklamia
137693,164/97,"CCM 4932, CIP 105583, CCUG 37419, ATCC 700631",1,"Facklamia ignava",Facklamia
151316,,"CCUG 43733",0,"Facklamia ignava",Facklamia
136524,,"CIP 106447, CCUG 37659",0,"Facklamia ignava",Facklamia
154522,,"CCUG 54213",0,"Facklamia ignava",Facklamia
167437,"WS 5301","LMG 31861T, DSM 111018T",1,"Facklamia lactis",Facklamia
138281,1144-97,"CCM 4946, CIP 105964, CCUG 37842",1,"Facklamia languida",Facklamia
156707,,"CCUG 64265",0,"Facklamia languida",Facklamia
149286,,"CCUG 37420",0,"Facklamia languida",Facklamia
152945,,"CCUG 48092",0,"Facklamia languida",Facklamia
146334,,"CCUG 30940",0,"Facklamia languida",Facklamia
138279,,"CIP 105965, CCUG 39606",0,"Facklamia languida",Facklamia
132842,"strain A/G13/99/2","ATCC BAA-466, DSM 104273, CCUG 42728, CIP 106764",1,"Facklamia miroungae",Facklamia
156971,,"CCUG 67774",1,"Facklamia porci",Facklamia
132843,M13582,"DSM 104271, CIP 105940, CCUG 28783 A, ATCC 700629, LMG 18982, Str 2/84",1,"Facklamia sourekii",Facklamia
156341,,"CCUG 61220",0,"Facklamia sourekii",Facklamia
156837,,"CCUG 65990",0,"Facklamia sourekii",Facklamia
138272,,"CIP 105939, CCUG 31976",0,"Facklamia sourekii",Facklamia
236,KO_PS21,"DSM 30838",0,"Facklamia sp.",Facklamia
132844,GF112B,"DSM 104272, CCUG 30090, CIP 106117, ATCC 700838, CCM 4934",1,"Facklamia tabacinasalis",Facklamia
164230,SNUG30370,"JCM 32257, KCTC 15632",1,"Faecalibacillus faecis",Faecalibacillus
164229,SNUG30099,"JCM 32256, KCTC 15631",1,"Faecalibacillus intestinalis",Faecalibacillus
164724,,"JCM 34082",0,"Faecalibacillus intestinalis",Faecalibacillus
167390,ZY171143,"KCTC 62642, CGMCC 1.13663",1,"Faecalibacter bovis",Faecalibacter
167635,"YIM 102668","KCTC 52109, CCTCC AB 2016016, YIM 102668",1,"Faecalibacter macacae",Faecalibacter
167849,"WQ 117","KCTC 82394, CCTCC AA 2020027",1,"Faecalibacter rhinopitheci",Faecalibacter
160407,AF52-21,"DSM 103434, CGMCC 1.5206, JCM 39212",1,"Faecalibacterium butyricigenerans",Faecalibacterium
17680,A2-165,"DSM 17677, JCM 31915",1,"Faecalibacterium duncaniae",Faecalibacterium
160404,ic1379,"DSM 23680",1,"Faecalibacterium gallinarum",Faecalibacterium
159478,APC922/41-1,"DSM 107841, JCM 39210",1,"Faecalibacterium hattorii",Faecalibacterium
170404,"4 P-15","JCM 39347, CGMCC 1.5250",1,"Faecalibacterium duncaniae",Faecalibacterium
160406,CM04-06,"DSM 103432, CGMCC 1.5208, JCM 39211",1,"Faecalibacterium longum",Faecalibacterium
168617,,"NCIMB 13872, ATCC 27768",1,"Faecalibacterium prausnitzii",Faecalibacterium
159476,APC942/30-2,"DSM 107839",0,"Faecalibacterium prausnitzii",Faecalibacterium
159477,APC924/119,"DSM 107840, JCM 39209",0,"Faecalibacterium prausnitzii",Faecalibacterium
159475,APC918/95b,"DSM 107838, JCM 39207",0,"Faecalibacterium prausnitzii",Faecalibacterium
160405,ic1340,"DSM 26267",0,"Faecalibacterium sp.",Faecalibacterium
132424,,"DSM 103405, JCM 30274, KCTC 15484, ALO 17",1,"Faecalibaculum rodentium",Faecalibaculum
169656,CLA-AV-15,"DSM 110083",0,"Faecalibaculum rodentium",Faecalibaculum
168271,YH-C36a,"NBRC 114768, KCTC 25106",1,"Faecalicatena absiana",Faecalicatena
158078,H2_18,"DSM 108153, JCM 34816",1,"Faecalicatena acetigenes",Faecalicatena
5422,"113 VI","DSM 3982, ATCC 25540, CCUG 52236, JCM 6483, VPI 0119",1,"Faecalicatena contorta",Faecalicatena
158959,H1_38,"DSM 108235",0,"Faecalicatena contorta",Faecalicatena
158960,H4_43,"DSM 108236",0,"Faecalicatena contorta",Faecalicatena
163986,,"JCM 31258",0,"Faecalicatena contorta",Faecalicatena
146517,,"CCUG 31363",0,"Faecalicatena contorta",Faecalicatena
170410,AGMB00832,"NBRC 114613, KCTC 15946",1,"Faecalicatena faecalis",Faecalicatena
5426,AzA,"DSM 3598, ATCC 33661, JCM 31501, NCIB 10446, NCIMB 10446, JCM 9983",1,"Faecalicatena fissicatena",Faecalicatena
2621,,"DSM 1287, ATCC 13619, ATCC 25750, JCM 1429, NCIB 10650, BCRC 14529, LMG 3286, NCCB 73016, NCIMB 10650, VPI 0565",1,"Faecalicatena orotica",Faecalicatena
158333,"PEH A","DSM 22707",0,"Faecalicatena sp.",Faecalicatena
158334,Sanger_97,"DSM 102166",0,"Bovifimicola ammoniilytica",Bovifimicola
130324,"37-2, 37-2a","DSM 26963, LMG 27428",1,"Faecalicoccus acidiformans",Faecalicoccus
14741,60B,"DSM 20574, ATCC 29734, LMG 17756, NCTC 11087, CCUG 11733, EBF 61/608, JCM 10414, CECT 992, KCTC 3656, NCFB 2494, NCIMB 702494",1,"Faecalicoccus pleomorphus",Faecalicoccus
