ID,designation_header,strain_number_header,is_type_strain_header,species,genus
134249,,"NRRL B-41736, DSM 18954, CBD 119, CIP 109795",1,"Gottfriedia acidiceleris",Gottfriedia
160793,GM3,"DSM 100571, JCM 33965, CSUR P1909",1,"Coprobacter secundus",Coprobacter
168949,GM7,"CSUR P2336, DSM 101039",1,"Gabonibacter massiliensis",Gabonibacter
157185,,"CCUG 70282, CSUR P3388",1,"Gabonibacter timonensis",Gabonibacter
133673,KYW382,"KCTC 23303, JCM 17455",1,"Gaetbulibacter aestuarii",Gaetbulibacter
140888,KEM-8,"KCTC 42198, NBRC 110553",1,"Gaetbulibacter aquiaggeris",Gaetbulibacter
161701,,"JCM 15976, KCTC 22615",1,"Gaetbulibacter jejuensis",Gaetbulibacter
133829,D1-y4,"KCTC 23716, CCUG 61504",1,"Gaetbulibacter lutimaris",Gaetbulibacter
134308,,"KCCM 42380, NBRC 102040, IMCC 1914",1,"Gaetbulibacter marinus",Gaetbulibacter
5590,SMK-12,"DSM 17032, KCTC 12379, JCM 12931, IAM 15373, CIP 108967",1,"Gaetbulibacter saemankumensis",Gaetbulibacter
161804,,"JCM 16524",0,"Gaetbulibacter sp.",Gaetbulibacter
162091,,"JCM 17732",0,"Gaetbulibacter sp.",Gaetbulibacter
140391,"CC- SP10- 22, CC-SP10-22, CC-SP1O-22","DSM 23414",0,"Gaetbulibacter sp.",Gaetbulibacter
140392,P6B6,"DSM 24434",0,"Gaetbulibacter sp.",Gaetbulibacter
168557,F2-233,"LMG 26412, CECT 7815",1,"Gaiella occulta",Gaiella
160169,"JZ R-183","DSM 107700, LMG 30902",1,"Galactobacter caseinivorans",Galactobacter
160213,"JZ-R-35, JZ R-35","DSM 107699, LMG 30901",1,"Galactobacter valiniphilus",Galactobacter
133892,ck-I2-15,"CCTCC AB 209062, LMG 25228, MCCC 1A03044",1,"Galbibacter marinus",Galbibacter
134228,Mok-17,"NBRC 101624, CIP 109219",1,"Galbibacter mesophilus",Galbibacter
140062,KIS82-1,"DSM 105515, KACC 15520, NBRC 108727",1,"Galbitalea soli",Galbitalea
11934,P2D,"DSM 24963, JCM 17795",1,"Galenea microaerophila",Galenea
17912,CEE_131,"DSM 21945, CECT 7479",1,"Gallaecimonas pentaromativorans",Gallaecimonas
130814,AN4,"DSM 21984",0,"Gallaecimonas sp.",Gallaecimonas
130813,3-C-1,"DSM 100312, CCTCC AB 209060, LMG 25226, MCCC 1A01354",1,"Gallaecimonas xiamenensis",Gallaecimonas
160623,Cla-CZ-119,"DSM 108975",1,"Gallalistipes aquisgranensis",Gallalistipes
160633,Cla-CZ-54,"DSM 108706, JCM 34592",1,"Gallibacter intestinalis",Gallibacter
11697,F149,"DSM 16844, ATCC 43329, CCUG 15563, NCTC 11413, CIP 102679",1,"Gallibacterium anatis",Gallibacterium
144752,,"CCUG 26455, MCCM 00141",0,"Gallibacterium anatis",Gallibacterium
135432,CNPA63,"CIP 104143, CCM 5995, CCUG 23138",0,"Gallibacterium anatis",Gallibacterium
142886,,"CCUG 15565, NCTC 11412, MCCM 00207",1,"Gallibacterium columbinum",Gallibacterium
172854,,"CIP 102632, CCM 5974, CCUG 23139, NCTC 11314",0,"Gallibacterium genomospecies",Gallibacterium
172855,CNPA61,"CIP 104141, CCM 5975, CCUG 23137",0,"Gallibacterium genomospecies",Gallibacterium
148851,,"CCUG 36331, MCCM 02162, CCM 7538",1,"Gallibacterium melopsittaci",Gallibacterium
148852,,"CCUG 36332, MCCM 00919",0,"Gallibacterium melopsittaci",Gallibacterium
148850,,"CCUG 36330, MCCM 00888",0,"Gallibacterium sp.",Gallibacterium
148853,,"CCUG 36333, MCCM 01246",0,"Gallibacterium sp.",Gallibacterium
147234,,"CCUG 33120",0,"Gallibacterium sp.",Gallibacterium
165307,,"JCM 5841",0,"Gallibacterium sp.",Gallibacterium
154904,,"CCUG 55631, CCM 7539",1,"Gallibacterium trehalosifermentans",Gallibacterium
17988,HKB-5,"DSM 3244, ATCC 49795",1,"Gallicola barnesae",Gallicola
159088,Sanger_16,"DSM 102825, JCM 34984",1,"Gallintestinimicrobium propionicum",Gallintestinimicrobium
140312,RP51,"DSM 100235, CCM 8606, LMG 28778",1,"Galliscardovia ingluviei",Galliscardovia
158128,CL-SK8,"DSM 19523",0,Gammaproteobacterium,Gammaproteobacterium
166227,SL3-2-4,"UICC B-83, NRRL B-67478, InaCC A981",1,"Gandjariella thermophila",Gandjariella
133621,GJ16,"KCTC 22649, JCM 16082",1,"Gangjinia marincola",Gangjinia
5451,,"DSM 15102, CIP 107615, MET 79",1,"Garciella nitratireducens",Garciella
166444,,"LMG 30814, CCUG 72425, UGent 06.41",1,"Gardnerella leopoldii",Gardnerella
166443,,"LMG 30818, CCUG 72427, UGent 18.01",1,"Gardnerella piotii",Gardnerella
166442,"GS 9838-1","LMG 30812, CCUG 72429",1,"Gardnerella swidsinskii",Gardnerella
1757,594,"DSM 4944, ATCC 14018, CCUG 3717, NCTC 10915, NCTC 10287, LMG 7832, JCM 11026, BCRC 17040, CIP 70.74, KCTC 5096, LMG 14323",1,"Gardnerella vaginalis",Gardnerella
150504,,"CCUG 41441",0,"Gardnerella vaginalis",Gardnerella
151410,,"CCUG 44053",0,"Gardnerella vaginalis",Gardnerella
142719,,"CCUG 14239 A",0,"Gardnerella vaginalis",Gardnerella
144868,,"CCUG 26921",0,"Gardnerella vaginalis",Gardnerella
146512,,"CCUG 31348",0,"Gardnerella vaginalis",Gardnerella
148434,,"CCUG 35443 A",0,"Gardnerella vaginalis",Gardnerella
151414,,"CCUG 44058",0,"Gardnerella vaginalis",Gardnerella
142720,,"CCUG 14240",0,"Gardnerella vaginalis",Gardnerella
144875,,"CCUG 26939",0,"Gardnerella vaginalis",Gardnerella
134735,448,"CIP 57.37",0,"Gardnerella vaginalis",Gardnerella
150628,,"CCUG 41809 A",0,"Gardnerella vaginalis",Gardnerella
150263,,"CCUG 39432",0,"Gardnerella vaginalis",Gardnerella
138636,744-85,"CIP 101903",0,"Gardnerella vaginalis",Gardnerella
151399,,"CCUG 44042",0,"Gardnerella vaginalis",Gardnerella
142452,,"CCUG 12598",0,"Gardnerella vaginalis",Gardnerella
146294,,"CCUG 30825",0,"Gardnerella vaginalis",Gardnerella
149257,,"CCUG 37352",0,"Gardnerella vaginalis",Gardnerella
150349,,"CCUG 39708",0,"Gardnerella vaginalis",Gardnerella
151400,,"CCUG 44043",0,"Gardnerella vaginalis",Gardnerella
151685,,"CCUG 44631 A",0,"Gardnerella vaginalis",Gardnerella
144838,,"CCUG 26756, CCUG 26865",0,"Gardnerella vaginalis",Gardnerella
148313,,"CCUG 35212",0,"Gardnerella vaginalis",Gardnerella
150383,,"CCUG 39787",0,"Gardnerella vaginalis",Gardnerella
151401,,"CCUG 44044",0,"Gardnerella vaginalis",Gardnerella
146303,,"CCUG 30841",0,"Gardnerella vaginalis",Gardnerella
149398,,"CCUG 37646",0,"Gardnerella vaginalis",Gardnerella
151402,,"CCUG 44045",0,"Gardnerella vaginalis",Gardnerella
142644,,"CCUG 13564",0,"Gardnerella vaginalis",Gardnerella
148418,,"CCUG 35403",0,"Gardnerella vaginalis",Gardnerella
174282,"CIMB 05-0951",CRBIP17.73,0,"Gardnerella vaginalis",Gardnerella
151409,,"CCUG 44052",0,"Gardnerella vaginalis",Gardnerella
142718,,"CCUG 14238",0,"Gardnerella vaginalis",Gardnerella
144867,,"CCUG 26920",0,"Gardnerella vaginalis",Gardnerella
135019,154.87,"CIP 102888",0,"Gardnerella vaginalis",Gardnerella
135716,2297,"CIP 82.14",0,"Gardnerella vaginalis",Gardnerella
137761,,"CIP 82.20",0,"Gardnerella vaginalis",Gardnerella
149827,,"CCUG 38481",0,"Gardnerella vaginalis",Gardnerella
150751,,"CCUG 42185",0,"Gardnerella vaginalis",Gardnerella
138033,532-86,"CIP 102555",0,"Gardnerella vaginalis",Gardnerella
151466,,"CCUG 44111",0,"Gardnerella vaginalis",Gardnerella
151504,,"CCUG 44161",0,"Gardnerella vaginalis",Gardnerella
141255,,"CCUG 427 A, CB 575",0,"Gardnerella vaginalis",Gardnerella
151529,,"CCUG 44227",0,"Gardnerella vaginalis",Gardnerella
135020,147-87,"CIP 102890",0,"Gardnerella vaginalis",Gardnerella
149108,,"CCUG 36864",0,"Gardnerella vaginalis",Gardnerella
137783,585.85,"CIP 101815",0,"Gardnerella vaginalis",Gardnerella
151535,,"CCUG 44249",0,"Gardnerella vaginalis",Gardnerella
151469,,"CCUG 44114",0,"Gardnerella vaginalis",Gardnerella
142033,,"CCUG 10059, LMG 21847",0,"Gardnerella vaginalis",Gardnerella
141630,,"CCUG 4121",0,"Gardnerella vaginalis",Gardnerella
145561,,"CCUG 28832",0,"Gardnerella vaginalis",Gardnerella
132731,,"DSM 104275, CCUG 7712",0,"Gardnerella vaginalis",Gardnerella
151372,,"CCUG 44004",0,"Gardnerella vaginalis",Gardnerella
148735,,"CCUG 35879 A",0,"Gardnerella vaginalis",Gardnerella
151547,,"CCUG 44280",0,"Gardnerella vaginalis",Gardnerella
151472,,"CCUG 44120",0,"Gardnerella vaginalis",Gardnerella
