ID,designation_header,strain_number_header,is_type_strain_header,species,genus
166010,,"JCM 9161, FERM 10531",0,"Halalkalibacterium halodurans",Halalkalibacterium
1200,"No. 51","DSM 13667, GTC 855, JCM 10946",0,"Halalkalibacterium halodurans",Halalkalibacterium
2680,"2428, McClung, 29/2b, 2428, McClung","DSM 6645, ATCC 25785, JCM 6585, VPI 4659",0,"Halanaerobium saccharolyticum",Halanaerobium
159599,F128-2,"DSM 111042, CECT 8441, LMG 27922",1,"Halarcobacter ebronensis",Halarcobacter
1207,105-2,"DSM 14745, ATCC BAA-366, CIP 109006, NRRL B-23453",1,"Heyndrickxia acidicola",Heyndrickxia
158610,7578-1,"CGMCC 1.15374, KCTC 33845",1,"Heyndrickxia camelliae",Heyndrickxia
140654,36D1,"ATCC 5827",0,"Heyndrickxia coagulans",Heyndrickxia
100137,"STI09070(IMET), 1032-005",,0,"Heyndrickxia coagulans",Heyndrickxia
100138,"STI09076(IMET), 1141-003",,0,"Heyndrickxia coagulans",Heyndrickxia
100139,"STI09080(IMET), 1136-014",,0,"Heyndrickxia coagulans",Heyndrickxia
100140,"STI09210(IMET), 485-59",,0,"Heyndrickxia coagulans",Heyndrickxia
100141,"STI09208(IMET), 491-25",,0,"Heyndrickxia coagulans",Heyndrickxia
137618,,"CIP 51.34, CN 2821",0,"Heyndrickxia coagulans",Heyndrickxia
136030,963.85,"CIP 102020",0,"Heyndrickxia coagulans",Heyndrickxia
147772,,"CCUG 34203",0,"Heyndrickxia coagulans",Heyndrickxia
155720,,"CCUG 59140",0,"Halalkalibacterium halodurans",Halalkalibacterium
154332,,"CCUG 53139",0,"Halalkalibacterium halodurans",Halalkalibacterium
152727,,"CCUG 47486",0,"Heyndrickxia oleronia",Heyndrickxia
152939,,"CCUG 48078",0,"Heyndrickxia oleronia",Heyndrickxia
154852,,"CCUG 55401",0,"Heyndrickxia oleronia",Heyndrickxia
155831,,"CCUG 59414",0,"Heyndrickxia oleronia",Heyndrickxia
156271,,"CCUG 60969",0,"Heyndrickxia sporothermodurans",Heyndrickxia
136522,CR-141,"CIP 106407, ATCC 23087, LMG 13167, NCIMB 1370",0,"Hugenholtzia roseola",Hugenholtzia
138191,,"CIP 105251",0,"Helicobacter rappini",Helicobacter
136703,9,"CIP 107725, CCUG 47968",1,"Haematobacter massiliensis",Haematobacter
