ID,designation_header,strain_number_header,is_type_strain_header,species,genus
17737,F12,"DSM 19957, KCTC 19879, NBRC 102561",1,"Iamia majanohamensis",Iamia
131330,Th6,"DSM 26283, JCM 18636, KCTC 32140",1,"Psychroserpens magnus",Psychroserpens
141119,JBKA-6,"ATCC BAA-2465, JCM 18228",1,"Ichthyobacterium seriolicida",Ichthyobacterium
169995,3Y2,"KCTC 82813, GDMCC 1.2584",1,"Ideonella alba",Ideonella
169996,4Y11,"GDMCC 1.1935, JCM 34285",1,"Ideonella aquatica",Ideonella
17955,1a22,"DSM 21438, JCM 15503",1,"Ideonella azotifigens",Ideonella
170529,"B 7","LMG 32345, NCAIM B.02664",1,"Ideonella benzenivorans",Ideonella
137263,,"CIP 104251, CCUG 30977, CCUG 30898, ATCC 51718",1,"Ideonella dechloratans",Ideonella
167235,TBM-1,"LMG 31339, BCRC 81199",1,"Ideonella livida",Ideonella
170530,NS12-5,"KACC 22691, TBRC 16346",1,"Ideonella oryzae",Ideonella
141120,KBP-31,"BCRC 80524, KCTC 32238",1,"Ideonella paludis",Ideonella
140803,201-F6,"NBRC 110686, TISTR 2288, DSM 112585",1,"Piscinibacter sakaiensis",Piscinibacter
161524,,"JCM 14686",0,"Ideonella sp.",Ideonella
161933,,"JCM 17105",0,"Ideonella sp.",Ideonella
6228,,"DSM 15222, ATCC BAA-312, KMM 227, CIP 107408",1,"Idiomarina abyssalis",Idiomarina
164110,,"JCM 31645, LMG 29773",1,"Pseudidiomarina andamanensis",Pseudidiomarina
170057,"SN 14","CECT 8360, CCM 8471, LMG 27613",1,"Idiomarina aquatica",Idiomarina
6226,OS145,"DSM 15154, LMG 21691, CIP 107824",1,"Idiomarina baltica",Idiomarina
6227,OS-146,"DSM 15155",0,"Idiomarina baltica",Idiomarina
6231,F23,"DSM 16139",1,"Idiomarina fontislapidosi",Idiomarina
172821,F23,"CIP 108573, CECT 5859, LMG 22169",1,"Idiomarina fontislapidosi",Idiomarina
133925,SW104,"CGMCC 1.10824, JCM 18138",1,"Idiomarina indica",Idiomarina
6229,L2-TR,"DSM 15497, CIP 108396, ATCC BAA-735",1,"Idiomarina loihiensis",Idiomarina
166504,ZQ330,"MCCC 1K03495, KCTC 62455",1,"Pseudidiomarina mangrovi",Pseudidiomarina
167874,"PCU 325, TPS4-2","TISTR 2054, NBRC 108617",1,"Idiomarina piscisalsi",Idiomarina
6232,R22,"DSM 16140",1,"Idiomarina ramblicola",Idiomarina
173527,R22,"CIP 108572, CECT 5858, LMG 22170",1,"Idiomarina ramblicola",Idiomarina
170602,"M 1R2S28","KCTC 92133, CGMCC 1.19026",1,"Idiomarina rhizosphaerae",Idiomarina
6234,CL-SP19,"DSM 21922, JCM 12526, KCTC 12296, CIP 108665",1,"Idiomarina seosinensis",Idiomarina
23067,106,"DSM 22724",0,"Idiomarina sp.",Idiomarina
23068,82,"DSM 22726",0,"Idiomarina sp.",Idiomarina
23069,618,"DSM 22722",0,"Idiomarina sp.",Idiomarina
23070,615,"DSM 22723",0,"Idiomarina sp.",Idiomarina
131105,YIM-Y3,"DSM 17052",0,"Idiomarina sp.",Idiomarina
158049,YIM-Y3,"DSM 21166",0,"Idiomarina sp.",Idiomarina
139893,H96B18,"DSM 22448, CGMCC 1.8464",0,"Idiomarina sp.",Idiomarina
139894,"KWS/BacEI002/12, E-36","DSM 26509",0,"Idiomarina sp.",Idiomarina
133294,CC-PW-9,"JCM 19757, BCRC 80745",1,"Idiomarina tyrosinivorans",Idiomarina
