ID,designation_header,strain_number_header,is_type_strain_header,species,genus
12494,"Pl t4","DSM 14626, CIP 109123, JCM 12631",1,"Jahnella thaxteri",Jahnella
12493,"Pl t3","DSM 14625",0,"Jahnella thaxteri",Jahnella
12495,"Pl t2","DSM 53722",0,"Jahnella thaxteri",Jahnella
6268,,"DSM 24723, CCTCC AB 2011027, JCM 19550, SCSIO 10480, NBRC 108804",1,"Janibacter alkaliphilus",Janibacter
6265,H2.16B,"DSM 18333, CCUG 49715, CIP 108728, JCM 14734, IAM 15369, JCM 21813, NBRC 107843, NCIMB 14557",1,"Janibacter anophelis",Janibacter
154014,,"CCUG 51978 B",0,"Janibacter anophelis",Janibacter
6266,04PA2-C05-61,"DSM 18906, JCM 15571, MBIC 08265, NBRC 107790",1,"Janibacter corallicola",Janibacter
24109,HR08-44,"DSM 26154, NBRC 107693",1,"Janibacter cremeus",Janibacter
170272,"YIM B02568","CGMCC 1.18658, JCM 34639",1,"Janibacter endophyticus",Janibacter
6267,PVAS-1,"DSM 21601, CCUG 56714, MTCC 8307, NBRC 109086, JCM 17930",1,"Janibacter hoylei",Janibacter
130358,0704P10-1,"DSM 29878, CGMCC 1.12511, LMG 27493, JCM 30779",1,"Janibacter indicus",Janibacter
6248,2003-10,"DSM 11140, IAM 14889, IFO 16128, NBRC 16128, CCUG 37980, HKI 83, ATCC 700321, CIP 105276, JCM 10980, KCTC 9994",1,"Janibacter limosus",Janibacter
6249,2003-70,"DSM 11141, HKI 84, CIP 105277, ATCC 700322",0,"Janibacter limosus",Janibacter
103016,"ST008524(HKI), 56, JA05570/1P2gelb",,0,"Janibacter limosus",Janibacter
102974,"ST026835(HKI), GT20024039, Lorenz Actino8","HKI 0545",0,"Janibacter limosus",Janibacter
103017,"ST000603(HKI), AM33404",,0,"Janibacter limosus",Janibacter
102975,"ST026836(HKI), Lorenz Actino9, GT20024040",,0,"Janibacter limosus",Janibacter
103018,"ST024699(HKI), 51022, 512/16","HKI 0451",0,"Janibacter limosus",Janibacter
102976,ST029549(HKI),,0,"Janibacter limosus",Janibacter
103019,"ST007116(HKI), ST 07116, U-19, 5","IMET 43364",0,"Janibacter limosus",Janibacter
102977,ST033599(HKI),,0,"Janibacter limosus",Janibacter
103020,"ST008496(HKI), 25, ST 08494, JA05142-25, ST 08497, sieheST 05265",,0,"Janibacter limosus",Janibacter
102978,STH00106(ZIMET),"HKI 0106",0,"Janibacter limosus",Janibacter
103021,"ST008497(HKI), JA05142-(Phosphat), 849408496, sieheST 05265, 24",,0,"Janibacter limosus",Janibacter
102979,STI40310(IMET),"IMET 40310, NCIB 8225",0,"Janibacter limosus",Janibacter
103022,"ST008494(HKI), ST 08496, ST 08497, sieheST 05265, JA05142-86",,0,"Janibacter limosus",Janibacter
102980,"STI40311(IMET), andere Geschichte, identisch mit IMET40235",,0,"Janibacter limosus",Janibacter
103023,"STI41563(IMET), AnglieI",,0,"Janibacter limosus",Janibacter
102981,STI40315(IMET),"IMET 40315, NCIB 9004",0,"Janibacter limosus",Janibacter
103024,"ST004717(HKI), ST 04717, 7",,0,"Janibacter limosus",Janibacter
102982,"STI41564(IMET), Klinge",,0,"Janibacter limosus",Janibacter
103025,"ST004985(HKI), A.S.4-135, SN-14","IMET 40210",0,"Janibacter limosus",Janibacter
102983,STI07024(IMET),"NCTC 658",0,"Janibacter limosus",Janibacter
103026,"ST005104(HKI), LUParis","IMET 40294",0,"Janibacter limosus",Janibacter
102984,ST002354(HKI),,0,"Janibacter limosus",Janibacter
103027,"ST005105(HKI), Paris1","IMET 40295",0,"Janibacter limosus",Janibacter
102985,"ST026546(HKI), GT20024009, Lorenz H1101-89.2",,0,"Janibacter limosus",Janibacter
103028,"ST005108(HKI), JA04620, identisch ST 05109","IMET 40306, IMET 40305, NCIB 3475",0,"Janibacter limosus",Janibacter
102986,ST030166(HKI),,0,"Janibacter limosus",Janibacter
103029,ST005110(HKI),"IMET 40307, IMRU 3496",0,"Janibacter limosus",Janibacter
102987,"ST007509(HKI), JA10086, A54/254, 4","IMET 43365, IMET 41716",0,"Janibacter limosus",Janibacter
