ID,designation_header,strain_number_header,is_type_strain_header,species,genus
170166,H3001,"CCUG 73276, CIP 111694",1,"Kaistella daneshvariae",Kaistella
170167,7-3A,"CCTCC AB 2016141, KCTC 52492",1,"Kaistella flava",Kaistella
159535,,"DSM 18886, YIM 47657",0,"Kaistella flava",Kaistella
170165,G5-32,"KCTC 72766, CCTCC AA 2019083",1,"Kaistella gelatinilytica",Kaistella
169785,Sa1CV4A,"DSM 112388",0,"Kaistella pullorum",Kaistella
170775,DKR-2,"NBRC 114725, KACC 22070",1,"Kaistella soli",Kaistella
169216,JJC,"DSM 29251, KCTC 23266, ATCC BAA-2161",1,"Kaistella zaccaria",Kaistella
13563,"CHj 404","DSM 17808, IAM 15023, JCM 21486, KCTC 12095, CIP 108816",1,"Kaistia adipata",Kaistia
159825,,"JCM 31803, KACC 19096, LYH 11",1,"Kaistia algarum",Kaistia
13567,B6-8,"DSM 18800, KCTC 12850",1,"Kaistia dalseonensis",Kaistia
133806,B6-12,"KCTC 23766, JCM 18034",1,"Kaistia defluvii",Kaistia
13568,B1-1,"DSM 18799, KCTC 12849",1,"Kaistia geumhonensis",Kaistia
13564,Ko04,"DSM 23481, KCTC 12575, LMG 23410",1,"Kaistia granuli",Kaistia
24471,E94,"DSM 25966, CCM 8401, CIP 110381, LMG 26925",1,"Kaistia hirudinis",Kaistia
170699,K-TC2,"CCM 9239, CCOS 2022",1,"Kaistia nematophila",Kaistia
13565,5YN9-8,"DSM 19436, KACC 12605",1,"Kaistia soli",Kaistia
100590,STH00153(ZIMET),"HKI 0153",0,"Kaistia soli",Kaistia
130594,17,"DSM 8896, ATCC 27833",0,"Kaistia sp.",Kaistia
13566,5YN7-3,"DSM 21341, KACC 12910",1,"Kaistia terrae",Kaistia
159357,IIIF1SW-P2,"DSM 108198, NRRL B-65522",0,"Pantoea piersonii",Pantoea
160809,GM4,"DSM 100575",0,"Kallipyga gabonensis",Kallipyga
160745,Ph2,"DSM 26229, CSUR P241",1,"Kallipyga massiliensis",Kallipyga
24804,JKG1,"DSM 26889, JCM 19132",1,"Kallotenue papyrolyticum",Kallotenue
159856,XY-R6,"MCCC 1K01498, KCTC 52266, DSM 104294",1,"Kandeliimicrobium roseum",Kandeliimicrobium
5378,"RL 2, T 185","DSM 20405, ATCC 27783, CCUG 32236, JCM 1143, JCM 8228, LMG 18931, CIP 103154, NRRL B-14854, BCRC 14621, KCTC 3578, LMG 17754, LMG 18316, LMG 9474, NCFB 2030, NCIMB 702030, NCDO 2030",1,"Kandleria vitulina",Kandleria
397,SW-154,"DSM 16071, KCTC 12183, JCM 12318",1,"Kangiella aquimarina",Kangiella
133675,YCS-5,"KCTC 23420, CCUG 60526",1,"Kangiella geojedonensis",Kangiella
133576,,"NRIC 0764, JCM 16211, KMM 3899",1,"Kangiella japonica",Kangiella
396,SW-125,"DSM 16069, KCTC 12182, JCM 12317",1,"Kangiella koreensis",Kangiella
133782,KM1,"BCRC 80329, JCM 17728",1,"Kangiella marina",Kangiella
163748,,"JCM 30232, CGMCC 1.12959, KCTC 42297",1,"Kangiella profundi",Kangiella
133836,BB-Mw22,"KCTC 23892, CCUG 62217",1,"Kangiella sediminilitoris",Kangiella
170063,PI,"KCTC 82509, MCCC 1K04352",1,"Kangiella shandongensis",Kangiella
140401,P2C19,"DSM 24501",0,"Kangiella sp.",Kangiella
398,A79,"DSM 23219, ATCC BAA-2076",1,"Kangiella spongicola",Kangiella
133783,KT1,"BCRC 80330, JCM 17727",1,"Kangiella taiwanensis",Kangiella
167273,GH1-50,"KCTC 72224, NBRC 113929",1,"Kangsaoukella pontilimi",Kangsaoukella
22970,KD-1,"DSM 26752, JCM 18769",1,"Keratinibaculum paraultunense",Keratinibaculum
354,"3925, R-20010","DSM 16618, CCUG 47000, LMG 5906, CIP 108214, Api 184-2-84",1,"Kerstersia gyiorum",Kerstersia
144352,,"CCUG 24721, LMG 15539",0,"Kerstersia gyiorum",Kerstersia
144356,,"CCUG 24726, LMG 15542, LMG 5895",0,"Kerstersia gyiorum",Kerstersia
147697,,"CCUG 34029, LMG 15979",0,"Kerstersia gyiorum",Kerstersia
152691,,"CCUG 47381",0,"Kerstersia gyiorum",Kerstersia
133793,,"CCUG 46999, LMG 5890, CIP 111651, Api 145-2-84",1,"Kerstersia similis",Kerstersia
152523,,"CCUG 46998, LMG 5891",0,"Kerstersia sp.",Kerstersia
159863,GI5,"KCTC 52659, JCM 31835",1,"Ketobacter alkanivorans",Ketobacter
167245,GYS_M3H,"MCCC 1A13808, KCTC 72247",1,"Ketobacter nezhaii",Ketobacter
132020,Mt13,"DSM 100591, CSUR P1935",0,"Haloimpatiens massiliensis",Haloimpatiens
13290,,"DSM 43828, ATCC 39323, IFO 14493, JCM 7912, NBRC 14493, HUT 6562, IMSNU 21282, KACC 20025, KCTC 9293, NRRL B-16436, VKM Ac-1316",1,"Kibdelosporangium aridum",Kibdelosporangium
