ID,designation_header,strain_number_header,is_type_strain_header,species,genus
153789,,"CCUG 50979 B",0,"Lederbergia galactosidilytica",Lederbergia
151074,,"CCUG 43216",0,"Lederbergia galactosidilytica",Lederbergia
139166,2750,"CIP 51.29",0,"Lederbergia lenta",Lederbergia
154470,,"CCUG 53744",0,"Lederbergia lenta",Lederbergia
145741,,"CCUG 29459, NRRL NRS-1262",0,"Lederbergia lenta",Lederbergia
134001,A24,"IBRC-M10078, KCTC 13816, IBRC-M 10078, CIP 110635",1,"Litchfieldia salsa",Litchfieldia
173781,143.1313,CRBIP3.287,0,"Lysinibacillus sphaericus",Lysinibacillus
173907,"IAB 881",CRBIP3.3926,0,"Lysinibacillus sphaericus",Lysinibacillus
174037,"MS 3",CRBIP3.4957,0,"Lysinibacillus sphaericus",Lysinibacillus
174158,432.0301,CRBIP3.783,0,"Lysinibacillus sphaericus",Lysinibacillus
173813,"Guyane 1d",CRBIP3.3100,0,"Lysinibacillus sphaericus",Lysinibacillus
173683,"B 70",CRBIP3.1711,0,"Lysinibacillus sphaericus",Lysinibacillus
174069,25,CRBIP3.534,0,"Lysinibacillus sphaericus",Lysinibacillus
173939,"2 AAS",CRBIP3.431,0,"Lysinibacillus sphaericus",Lysinibacillus
173846,,"CRBIP3.3705, Her 35",0,"Lysinibacillus sphaericus",Lysinibacillus
173715,,"CRBIP3.2012, BMG 1.163",0,"Lysinibacillus sphaericus",Lysinibacillus
174097,QUE,CRBIP3.5719,0,"Lysinibacillus sphaericus",Lysinibacillus
173971,71,CRBIP3.46,0,"Lysinibacillus sphaericus",Lysinibacillus
173622,"CIMB 04-3502",CRBIP17.28,0,"Lysinibacillus sphaericus",Lysinibacillus
173747,"COK 2",CRBIP3.2525,0,"Lysinibacillus sphaericus",Lysinibacillus
173878,1896,CRBIP3.386,0,"Lysinibacillus sphaericus",Lysinibacillus
174003,"LFB 910",CRBIP3.4741,0,"Lysinibacillus sphaericus",Lysinibacillus
174129,,"CRBIP3.6073, VCRC B288",0,"Lysinibacillus sphaericus",Lysinibacillus
173779,143.1123,CRBIP3.285,0,"Lysinibacillus sphaericus",Lysinibacillus
173654,,"CRBIP3.1576, ATCC 13805",0,"Lysinibacillus sphaericus",Lysinibacillus
174035,mal,CRBIP3.4868,0,"Lysinibacillus sphaericus",Lysinibacillus
173910,II/2-2D.A.,CRBIP3.3936,0,"Lysinibacillus sphaericus",Lysinibacillus
173811,114,CRBIP3.31,0,"Lysinibacillus sphaericus",Lysinibacillus
174161,432.0603,CRBIP3.786,0,"Lysinibacillus sphaericus",Lysinibacillus
174067,OMS,CRBIP3.5216,0,"Lysinibacillus sphaericus",Lysinibacillus
173844,1881-48,CRBIP3.370,0,"Lysinibacillus sphaericus",Lysinibacillus
174095,,"CRBIP3.5687, Pri 13",0,"Lysinibacillus sphaericus",Lysinibacillus
173969,21.0106,CRBIP3.456,0,"Lysinibacillus sphaericus",Lysinibacillus
173876,1894,CRBIP3.384,0,"Lysinibacillus sphaericus",Lysinibacillus
173745,"Cirphis 8",CRBIP3.2504,0,"Lysinibacillus sphaericus",Lysinibacillus
174127,"29 BUL",CRBIP3.602,0,"Lysinibacillus sphaericus",Lysinibacillus
174001,"LFB 908",CRBIP3.4739,0,"Lysinibacillus sphaericus",Lysinibacillus
173652,,"CRBIP3.1571, ATCC 12123",0,"Lysinibacillus sphaericus",Lysinibacillus
173777,143.1120,CRBIP3.283,0,"Lysinibacillus sphaericus",Lysinibacillus
173908,ICA,CRBIP3.3928,0,"Lysinibacillus sphaericus",Lysinibacillus
174033,2297-7,CRBIP3.485,0,"Lysinibacillus sphaericus",Lysinibacillus
174159,432.0302,CRBIP3.784,0,"Lysinibacillus sphaericus",Lysinibacillus
173809,"Guyane 1a",CRBIP3.3097,0,"Lysinibacillus sphaericus",Lysinibacillus
173684,"B 74",CRBIP3.1716,0,"Lysinibacillus sphaericus",Lysinibacillus
174065,93,CRBIP3.52,0,"Lysinibacillus sphaericus",Lysinibacillus
173940,JI167,CRBIP3.4321,0,"Lysinibacillus sphaericus",Lysinibacillus
173842,180h,CRBIP3.365,0,"Lysinibacillus sphaericus",Lysinibacillus
173716,,"CRBIP3.2013, BMG 1.176",0,"Lysinibacillus sphaericus",Lysinibacillus
174093,27.0110,CRBIP3.567,0,"Lysinibacillus sphaericus",Lysinibacillus
173972,2115,CRBIP3.460,0,"Lysinibacillus sphaericus",Lysinibacillus
173874,1892,CRBIP3.382,0,"Lysinibacillus sphaericus",Lysinibacillus
173748,"COK 27",CRBIP3.2526,0,"Lysinibacillus sphaericus",Lysinibacillus
174125,"UJ 4",CRBIP3.6018,0,"Lysinibacillus sphaericus",Lysinibacillus
174004,"LFB 916",CRBIP3.4742,0,"Lysinibacillus sphaericus",Lysinibacillus
173650,119.04046,CRBIP3.136,0,"Lysinibacillus sphaericus",Lysinibacillus
173780,143.1310,CRBIP3.286,0,"Lysinibacillus sphaericus",Lysinibacillus
173906,"IAB 872",CRBIP3.3925,0,"Lysinibacillus sphaericus",Lysinibacillus
174036,"23 A",CRBIP3.487,0,"Lysinibacillus sphaericus",Lysinibacillus
174157,432.0204,CRBIP3.781,0,"Lysinibacillus sphaericus",Lysinibacillus
173812,1593-4,CRBIP3.310,0,"Lysinibacillus sphaericus",Lysinibacillus
173682,"B 64",CRBIP3.1704,0,"Lysinibacillus sphaericus",Lysinibacillus
174068,94,CRBIP3.53,0,"Lysinibacillus sphaericus",Lysinibacillus
173938,69,CRBIP3.43,0,"Lysinibacillus sphaericus",Lysinibacillus
173845,,"CRBIP3.3704, Her 19",0,"Lysinibacillus sphaericus",Lysinibacillus
