ID,designation_header,strain_number_header,is_type_strain_header,species,genus
162632,,"JCM 19851, CGMCC 1.12763, LMG 28107, MCCC 1A09948",1,"Mameliella alba",Mameliella
158655,F138-33,"CECT 8984, LMG 29148, CIP 111615",1,"Malaciobacter canalis",Malaciobacter
146632,,"CCUG 31673",0,"Microbacterium sp.",Microbacterium
144658,,"CCUG 26122",0,"Microbacterium sp.",Microbacterium
143844,,"CCUG 21481",0,"Microbacterium sp.",Microbacterium
100666,STI10763(IMET),"SG 464",0,"Microbacterium sp.",Microbacterium
100667,STI10826(IMET),"SG 1080",0,"Microbacterium sp.",Microbacterium
131455,SA2-6,"DSM 28801, MTCC 11848",1,"Mesobacillus campisalis",Mesobacillus
158648,Bf-1,"JCM 31807, NCIMB 15079",1,"Mesobacillus fermenti",Mesobacillus
156942,,"CCUG 67199",0,"Mesobacillus foraminis",Mesobacillus
164365,,"JCM 32794, CICC 24459",1,"Mesobacillus harenae",Mesobacillus
154637,,"CCUG 54663",0,"Metabacillus idriensis",Metabacillus
155146,,"CCUG 56597",0,"Metabacillus idriensis",Metabacillus
154521,,"CCUG 54208",0,"Metabacillus idriensis",Metabacillus
146949,,"CCUG 32531",0,"Mesobacillus jeotgali",Mesobacillus
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,"Metabacillus lacus",Metabacillus
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,"Metabacillus mangrovi",Metabacillus
133059,KS16-9,"DSM 100413, KCTC 33834, MTCC 12305, JCM 31631",1,"Mesobacillus maritimus",Mesobacillus
159947,KUDC1714,"DSM 27608",0,"Metabacillus elymi",Metabacillus
134617,"BM-B-436, BMP-1","CIP 109765, CECT 7196",1,"Mesobacillus thioparans",Mesobacillus
133035,JC231,"DSM 29857, KCTC 15472",0,"Marispirochaeta associata",Marispirochaeta
164679,,"JCM 33842, MCCC 1A16619",1,"Microcella indica",Microcella
4172,FSRs,"DSM 23315, ATCC BAA-2083",1,"Maridesulfovibrio lacusfryxellense",Maridesulfovibrio
158350,P1BSR,"DSM 101510, JCM 31065",1,"Maridesulfovibrio salinus",Maridesulfovibrio
4353,,"DSM 18069, ATCC 33242, CFBP 4178, CIP 109103, LMG 2542, NCPPB 2511",1,"Musicola paradisiaca",Musicola
141131,,"KCTC 42409, JCM 30745, DCY 83",1,"Massilia ginsengisoli",Massilia
142974,,"CCUG 15995, ATCC 33094",0,"Mogibacterium timidum",Mogibacterium
133830,MK3,"LMG 26441, NCCB 100384",1,"Myroides anatoliensis",Myroides
134275,454-2,"CECT 7184, CCUG 52969, CIP 109811",1,"Myroides ceti",Myroides
154285,,"CCUG 52968, CECT 7272",0,"Myroides ceti",Myroides
154286,,"CCUG 52970, CECT 7271",0,"Myroides ceti",Myroides
133366,wh15,"CCTCC AB 2015420, JCM 31173",1,"Myroides cloacae",Myroides
133979,SW105,"CGMCC 1.10825, JCM 18132",1,"Myroides aquimaris",Myroides
103222,"ST018940(HKI), CIBA ID 41199, ST 18102, CP148, P1",,0,"Microlunatus sp.",Microlunatus
103223,SF001604(FSU),,0,"Microlunatus sp.",Microlunatus
103224,SF000499(FSU),,0,"Microlunatus sp.",Microlunatus
103225,SF000626(FSU),,0,"Microlunatus sp.",Microlunatus
103226,SF000914(FSU),,0,"Microlunatus sp.",Microlunatus
103227,SF000915(FSU),,0,"Microlunatus sp.",Microlunatus
103228,SF000916(FSU),,0,"Microlunatus sp.",Microlunatus
103229,SF006535(FSU),,0,"Microlunatus sp.",Microlunatus
103230,SF006536(FSU),,0,"Microlunatus sp.",Microlunatus
159638,,"DSM 100518, YIM 44261",0,"Micromonospora sp.",Micromonospora
159791,,"NBRC 113144, TBRC 7644, PLAI 1-1, JCM 32592",1,"Micromonospora zingiberis",Micromonospora
23757,N2-5,"DSM 23810, KCTC 13837",0,"Metalysinibacillus jejuensis",Metalysinibacillus
