ID,designation_header,strain_number_header,is_type_strain_header,species,genus
164361,,"JCM 3279, ATCC 21806, BCRC 13314, CECT 3282",0,"Nocardia uniformis subsp. tsuyamanensis",Nocardia
11056,J41,"DSM 10552, ATCC 49363, IFO 14897, NBRC 14897, NCIMB 12713, CCUG 35026, LMG 16205, JCM 8088, IMSNU 22010, KCCM 41090, KCTC 9576, VKM Ac-1324",1,"Nocardioides fastidiosus",Nocardioides
13220,"Lepetit ME/83, Lepetit ME83/973, Schering 368","DSM 43304, ATCC 13685, CBS 121.63, CBS 716.72, DSM 40501, IFO 13142, IFO 13415, IMET 7651, ISP 5501, JCM 4789, KCC S-0789, LBG A 3136, NBRC 13142, NBRC 13415, NCIB 9613, NRRL B-3240, PSA 71, RIA 1376, VKM Ac-798, CIP 107074, CCUG 43144, ETH 28579, BCRC 12440, CGMCC 4.1213, IMSNU 20056, KCCM 11859, KCTC 1739, MTCC 14, NBIMCC 3395, NCIMB 9613, PCM 2320",1,"Nocardia mediterranei",Nocardia
13219,,"DSM 40773, LBG A-3136",0,"Nocardia mediterranei",Nocardia
13221,"Lepetit S 955, S 955","DSM 46096, ATCC 21411, IMET 7669",0,"Nocardia mediterranei",Nocardia
135243,KA3,"CIP 103312",0,"Niveispirillum irakense",Niveispirillum
153778,,"CCUG 50947",0,"Neobacillus bataviensis",Neobacillus
148765,,"CCUG 35915 A",0,"Niallia circulans",Niallia
135496,,"CIP 51.21",0,"Niallia circulans",Niallia
137248,Mousset,"CIP A49",0,"Niallia circulans",Niallia
145474,,"CCUG 28639",0,"Niallia circulans",Niallia
134969,,"CIP 102802",0,"Niallia circulans",Niallia
138638,NRS-760,"CIP 52.76, ATCC 8384",0,"Niallia circulans",Niallia
136599,,"CIP A36",0,"Niallia circulans",Niallia
155064,,"CCUG 56355",0,"Niallia circulans",Niallia
148109,,"CCUG 34825",0,"Niallia circulans",Niallia
148136,,"CCUG 34885",0,"Niallia circulans",Niallia
135272,,"CIP 53.60",0,"Niallia circulans",Niallia
153454,,"CCUG 49659",0,"Niallia circulans",Niallia
152333,,"CCUG 46461",0,"Niallia circulans",Niallia
136102,491.86,"CIP 102490",0,"Niallia circulans",Niallia
143697,,"CCUG 21053",0,"Niallia circulans",Niallia
135487,,"CIP 106423, MAS 2",0,"Niallia circulans",Niallia
