ID,designation_header,strain_number_header,is_type_strain_header,species,genus
133004,HZ22,"DSM 26350, CGMCC 1.11025, JCM 18496",1,"Pseudalgibacter alginicilyticus",Pseudalgibacter
164548,,"JCM 33411, CGMCC 1.16730",1,"Pseudalkalibacillus caeni",Pseudalkalibacillus
166543,Ery1,"KCTC 62387, CGMCC 1.16499, MCCC 1A10037",1,"Pelagerythrobacter aerophilus",Pelagerythrobacter
140729,JSSK-8,"KCTC 52763, NBRC 112764",1,"Pontixanthobacter aquaemixtae",Pontixanthobacter
133169,KEM-4,"KCTC 52259, NBRC 112305",1,"Pontixanthobacter confluentis",Pontixanthobacter
133814,KJ7,"KACC 16190, JCM 17802",1,"Pontixanthobacter gangjinensis",Pontixanthobacter
134119,SW-109,"KCTC 12311, JCM 12599, CIP 108783, CGMCC 1.7690",1,"Pontixanthobacter luteolus",Pontixanthobacter
139624,,,0,"Pontixanthobacter luteolus",Pontixanthobacter
166532,GH1-16,"KCTC 52845, NBRC 113275",1,"Parerythrobacter lutipelagi",Parerythrobacter
5398,MSW-14,"DSM 21428, KCTC 22370, UCCCB27",1,"Pelagerythrobacter marensis",Pelagerythrobacter
133493,H32,"CCTCC AB 208229, LMG 24629, MCCC 1A01070",1,"Pelagerythrobacter marinus",Pelagerythrobacter
133617,KYW48,"KCTC 22736, JCM 16345",1,"Paraurantiacibacter namhicola",Paraurantiacibacter
133297,,"CAU 1172, KCTC 42453, NBRC 110917",1,"Pontixanthobacter sediminis",Pontixanthobacter
160690,F79-6T,"DSM 25472, LMG 26155, CECT 7837",1,"Pseudarcobacter ellisii",Pseudarcobacter
174178,F41,"CIP 110783, CECT 7833, LMG 26152",1,"Pseudarcobacter suis",Pseudarcobacter
168554,F67-11,"LMG 26156, CECT 7836",1,"Pseudarcobacter venerupis",Pseudarcobacter
140943,SM1212,"MCCC 1K00234, KCTC 32514",1,"Psychroserpens luteus",Psychroserpens
130422,"NIO-08, NIO-1008","DSM 25279, NCIM 5488",1,"Pseudarthrobacter enclensis",Pseudarthrobacter
13884,"SWub 3","DSM 12120, ATCC 51397, LMG 9505, NCIMB 13565",1,"Parazoarcus communis",Parazoarcus
164174,CC-YHH838,"JCM 32001, BCRC 81059",1,"Pseudothauera nasutitermitis",Pseudothauera
166474,SY39,"KCTC 62157, MCCC 1K03430",1,"Pseudazoarcus pumilus",Pseudazoarcus
164175,CC-YHH848,"JCM 32002, BCRC 81060",1,"Pseudothauera rhizosphaerae",Pseudothauera
171038,"Guyane 8a",CRBIP3.3153,0,"Paenibacillus alvei",Paenibacillus
171039,H5,CRBIP3.3164,0,"Paenibacillus alvei",Paenibacillus
