ID,designation_header,strain_number_header,is_type_strain_header,species,genus
134092,"SW110, SW-110","KCCM 41818, JCM 12189, CGMCC 1.8484, CIP 108636",1,"Qipengyuania aquimaris",Qipengyuania
161202,,"JCM 12190, KCCM 41819",0,"Qipengyuania aquimaris",Qipengyuania
161203,,"JCM 12191, KCCM 41820",0,"Qipengyuania aquimaris",Qipengyuania
5382,RE35F/1,"DSM 14432, CIP 107092, JCM 21816, CGMCC 1.8703, CGMCC 1.8709, IAM 15372, KCTC 12214",1,"Qipengyuania citrea",Qipengyuania
172311,,"CIP 107217",0,"Qipengyuania citrea",Qipengyuania
5385,SW-46,"DSM 16421, JCM 11808, KCCM 41642, CIP 108097",1,"Qipengyuania flava",Qipengyuania
161190,,"JCM 11809, KCCM 41643",0,"Qipengyuania flava",Qipengyuania
5383,SW-161,"DSM 16225, KCTC 12227",1,"Qipengyuania gaetbuli",Qipengyuania
166195,KEM-5,"KACC 19865, KCTC 62896, NBRC 113546",1,"Qipengyuania marisflavi",Qipengyuania
133552,T30,"CGMCC 1.7715, JCM 16125",1,"Qipengyuania nanhaisediminis",Qipengyuania
133677,UST081027-248,"JCM 17468, NRRL 59511",1,"Qipengyuania pelagi",Qipengyuania
5384,SW-135,"DSM 16221, KCTC 12228, JCM 21815, CGMCC 1.8708, IAM 15371",1,"Qipengyuania seohaensis",Qipengyuania
5386,"O22-2-10, 022-2-10","DSM 17792, CIP 108956, KMM 3465",1,"Qipengyuania vulgaris",Qipengyuania
136909,022-2-9,"CIP 107841",0,"Qipengyuania vulgaris",Qipengyuania
158576,,"KEMB 9005-328, JCM 31499, Yeonmyeong 2-22",1,"Qipengyuania algicida",Qipengyuania
169833,,"YIM S01255, KCTC 49476, CGMCC 4.7684",1,"Qaidamihabitans albus",Qaidamihabitans
166633,LN3S51,"KCTC 72457, CGMCC 1.17099",1,"Qingshengfaniella alkalisoli",Qingshengfaniella
170739,GH25,"GDMCC 1.2366, KCTC 82601",1,"Qipengyuania aerophila",Qipengyuania
170740,1NDH13,"KCTC 82607, GDMCC 1.2375",1,"Qipengyuania aurantiaca",Qipengyuania
170741,1NDH1,"KCTC 82606, GDMCC 1.2372",1,"Qipengyuania gelatinilytica",Qipengyuania
170742,YG19,"GDMCC 1.2369, KCTC 82604",1,"Qipengyuania huizhouensis",Qipengyuania
170743,GH38,"GDMCC 1.2368, KCTC 82603",1,"Qipengyuania intermedia",Qipengyuania
170744,YG27,"GDMCC 1.2367, KCTC 82602",1,"Qipengyuania mesophila",Qipengyuania
169716,NZ-96,"DSM 112811, NCCB 100842",0,"Qipengyuania pacifica",Qipengyuania
170745,1NDH17,"GDMCC 1.2376, KCTC 82608",1,"Qipengyuania polymorpha",Qipengyuania
170746,6B39,"GDMCC 1.2364, KCTC 82599",1,"Qipengyuania proteolytica",Qipengyuania
170747,1XM2-8,"GDMCC 1.2380, KCTC 82611",1,"Qipengyuania psychrotolerans",Qipengyuania
170748,6D47A,"KCTC 82600, GDMCC 1.2365",1,"Qipengyuania qiaonensis",Qipengyuania
163731,,"JCM 30182, CGMCC 1.12928",1,"Qipengyuania sediminis",Qipengyuania
166937,"6 D36","GDMCC 1.1977, KCTC 82333",1,"Qipengyuania soli",Qipengyuania
170749,GH29,"GDMCC 1.2371, KCTC 82661",1,"Qipengyuania sphaerica",Qipengyuania
170753,PHS-Z21,"MCCC 1K07849, KCTC 92590",1,"Qipengyuania spongiae",Qipengyuania
170750,1NDH10,"GDMCC 1.2373, KCTC 82663",1,"Qipengyuania vesicularis",Qipengyuania
170751,1XM1-15A,"KCTC 82610, GDMCC 1.2379",1,"Qipengyuania xiamenensis",Qipengyuania
170752,1NDW9,"KCTC 82662, GDMCC 1.2378",1,"Qipengyuania xiapuensis",Qipengyuania
6329,AG-019,"DSM 44889, ATCC BAA-1104, CIP 108941, JCM 16010, NBRC 106147",1,"Quadrisphaera granulorum",Quadrisphaera
167900,"RL12-­IS, RL12-1S","TBRC 8486, NBRC 113447",1,"Quadrisphaera oryzae",Quadrisphaera
169789,DD2A,"NBRC 113770, KACC 21165",1,"Quadrisphaera setariae",Quadrisphaera
130789,G10,"DSM 44207",0,"Quadrisphaera sp.",Quadrisphaera
169674,PDD-T1SNOW-5-4,"DSM 106011",0,"Quadrisphaera sp.",Quadrisphaera
168742,"strain Ben 117","CIP 107055, NCIMB 13738",1,"Quatrionicoccus australiensis",Quatrionicoccus
141111,CGI-09,"DSM 29781, JCM 31785",1,"Quisquiliibacterium transsilvanicum",Quisquiliibacterium
