ID,designation_header,strain_number_header,is_type_strain_header,species,genus
136689,90A,"CIP 107749, CCUG 51326",0,"Rhizobium massiliense",Rhizobium
159621,W35,"DSM 106757, NBRC 111963",1,"Rubrivivax pictus",Rubrivivax
166171,KYPY4,"BCRC 81010, KCTC 52441",1,"Rubrivivax rivuli",Rubrivivax
157161,,"CCUG 69892",1,"Robertmurraya dakarensis",Robertmurraya
133457,ZLC-26,"CCTCC AB 207172, NRRL B-51302",1,"Robertmurraya korlensis",Robertmurraya
156836,,"CCUG 65980",0,"Robertmurraya korlensis",Robertmurraya
157037,,"CCUG 69026",0,"Robertmurraya korlensis",Robertmurraya
154716,,"CCUG 54922",0,"Rummeliibacillus pycnus",Rummeliibacillus
153259,,"CCUG 48951",0,"Robertmurraya siralis",Robertmurraya
156726,,"CCUG 64538",0,"Robertmurraya siralis",Robertmurraya
153859,,"CCUG 51395",0,"Robertmurraya siralis",Robertmurraya
152292,,"CCUG 46358",0,"Robertmurraya siralis",Robertmurraya
164475,XXST-01,"JCM 33181, MCCC 1A14143",1,"Robertmurraya yapensis",Robertmurraya
13606,3C231,"DSM 30140, ATCC 10319, JCM 20681, IAM 12610, NBRC 100381, VKM B-1965",0,"Rhizobium lupini",Rhizobium
23844,15C,"DSM 27522",1,"Rhabdochlamydia porcellionis",Rhabdochlamydia
100557,"ST033496(HKI), GT20051121",,0,"Ruminiclostridium papyrosolvens",Ruminiclostridium
100558,"ST033497(HKI), GT20051122","HKI 0511",0,"Ruminiclostridium papyrosolvens",Ruminiclostridium
10845,,"DSM 43950, ATCC 25694, ATCC 25734, IMET 7466, NCTC 4219",0,"Rhodococcus hoagii",Rhodococcus
10846,VII,"DSM 44426",0,"Rhodococcus hoagii",Rhodococcus
10847,"Gdf C58, Gdf R76, Gordon N4219, R76","DSM 46064, IMET 7468, Tsukamura PO11",0,"Rhodococcus hoagii",Rhodococcus
10848,,"DSM 46101, IAM 12443, IMET 7755, JCM 1315, AJ 1378, CNF 001",0,"Rhodococcus hoagii",Rhodococcus
10841,,"DSM 1990, SC 372-837",0,"Rhodococcus hoagii",Rhodococcus
157816,"PAM1126, 103S","DSM 104936",0,"Rhodococcus hoagii",Rhodococcus
10843,C7,"DSM 20307, ATCC 25729, ATCC 6939, CCUG 892, CIP 54.72, DSM 43349, HAMBI 2061, JCM 1311, JCM 3209, LMG 18452, NBRC 101255, NBRC 14956, NCTC 1621, NRRL B-16538, VKM Ac-953, WDCM 00028, ACM 4987, BCRC 12859, CCM 3429, CCUG 20987, CCUG 23606, CECT 555, CGMCC 4.1824, IAM 12426, IFM 0162, IFO 14956, IMET 7467, IMSNU 22213, KACC 20051, KCTC 9082, LMG 5358, NBIMCC 1230, NCAIM B.02034, NCIMB 12828, PCM 559",0,"Rhodococcus equi",Rhodococcus
140197,,"DSM 101275, CCY 0369",0,"Raphidiopsis sp.",Raphidiopsis
3248,"20B, URRIELLA NHT 117","DSM 23381, CSUR P99, DSM 233381",1,"Rickettsiella massiliensis",Rickettsiella
134177,UST030701-097,"NRRL B-41220, JCM 13334, CIP 109252, DSM 113472",1,"Roseivirga halotolerans",Roseivirga
141117,A4,"KCTC 42507, CGMCC 1.15111",1,"Roseivirga thermotolerans",Roseivirga
10571,N935,"DSM 43979, ATCC 33610, JCM 6048, CIP 104182",0,"Rhodococcus obuensis",Rhodococcus
10572,E6324,"DSM 44019, ATCC 33609, JCM 6047, CIP 104183, NCIMB 13125, NRRL B-16936",0,"Rhodococcus chubuensis",Rhodococcus
3031,KIN192,"DSM 25082, CCUG 53117, CECT 7319",1,"Roseateles asaccharophilus",Roseateles
160293,DAIF2,"DSM 112015",0,"Roseateles sp.",Roseateles
156315,,"CCUG 61128",0,"Roseibium aggregatum",Roseibium
164010,,"JCM 31309, KCTC 42849",1,"Roseibium callyspongiae",Roseibium
164030,,"JCM 31348",0,"Roseibium sp.",Roseibium
131442,GT-12,"DSM 23456",0,"Roseibium sp.",Roseibium
1534,,"DSM 7260, NRRL NRS-1691",0,"Rummeliibacillus pycnus",Rummeliibacillus
100901,STI07753(IMET),"JCM 6048, IMET 7753",0,"Rhodococcus obuensis",Rhodococcus
166379,HWN-4,"LMG 28685, KTCC 42483",1,"Roseateles chitinivorans",Roseateles
134139,3001,"IAM 14711, ATCC BAA-476, JCM 21276, NBRC 102408, CIP 108954",1,"Roseateles chitosanitabidus",Roseateles
158764,HZ7,"JCM 31671, CCTCC AB 2014353",1,"Roseateles noduli",Roseateles
140540,CHU3,"KCTC 42519, CICC 24092, DSM 109232",1,"Roseateles oligotrophus",Roseateles
17932,2C20,"DSM 16998, HAMBI 2767, KCTC 42569, VYH 193597",1,"Roseateles toxinivorans",Roseateles
166109,YLY04,"MCCC 1H00334, KCTC 62452",1,"Roseovarius dicentrarchi",Roseovarius
134272,,"CECT 7234, CCUG 52769",1,"Roseateles puraquae",Roseateles
154215,,"CCUG 52770",0,"Roseateles puraquae",Roseateles
154216,,"CCUG 52771",0,"Roseateles puraquae",Roseateles
155896,,"CCUG 59591",0,"Roseateles puraquae",Roseateles
2981,,"DSM 654, ATCC 15946, CFBP 2433, CIP 59.18, HAMBI 373, IAM 14368, JCM 15912, LMG 2256, NCCB 46053, VKM B-902, CCUG 32988, BUCSAV 293, CCM 1980, CCUG 15839, IAM 1504, JCM 21181, LMG 7831, NBRC 103037, NCDO 1936, NCIMB 8570, NRRL B-1492, JCM 13309",1,"Roseateles saccharophilus",Roseateles
154179,,"CCUG 52671",0,"Roseateles saccharophilus",Roseateles
154186,,"CCUG 52681 A",0,"Roseateles saccharophilus",Roseateles
141299,,"CCUG 778",0,"Roseateles saccharophilus",Roseateles
150679,,"CCUG 41950 A",0,"Roseateles saccharophilus",Roseateles
155650,,"CCUG 58645",0,"Roseateles saccharophilus",Roseateles
154148,,"CCUG 52554 B",0,"Roseateles saccharophilus",Roseateles
154164,,"CCUG 52623",0,"Roseateles saccharophilus",Roseateles
154176,,"CCUG 52667",0,"Roseateles saccharophilus",Roseateles
154177,,"CCUG 52669",0,"Roseateles saccharophilus",Roseateles
155456,,"CCUG 57806",0,"Roseateles sp.",Roseateles
156214,,"CCUG 60741",0,"Roseateles sp.",Roseateles
132312,Root405,"DSM 102492",0,"Roseateles sp.",Roseateles
132313,Stev42,"DSM 103055",0,"Roseateles sp.",Roseateles
132551,,"DSM 100773, NCCB 100574, MSR MSr9521, MSR 9521",1,"Racemicystis crocea",Racemicystis
133077,37,"DSM 103165, NCCB 100606, MSR MSr11462, MSR 11462",1,"Racemicystis persica",Racemicystis
164588,,"JCM 33497, CICC 24779",1,"Radiobacillus deserti",Radiobacillus
