ID,designation_header,strain_number_header,is_type_strain_header,species,genus
164162,,"JCM 31946",0,"Sulfoacidibacillus thermotolerans",Sulfoacidibacillus
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",Silvibacterium
16097,,"DSM 41248, IMRU 3947, NRRL B-2869",0,"Streptomyces violaceus",Streptomyces
173342,"CIMB 04-7213",CRBIP17.16,0,"Schaalia odontolytica",Schaalia
173522,"CIMB12, CIMB 05-2020",CRBIP17.12,0,"Schaalia radingae",Schaalia
174270,"CIMB 04-8993",CRBIP17.14,0,"Schaalia turicensis",Schaalia
133942,LCJ02,"KCCM 90108, JCM 18484",1,"Sediminibacterium lactis",Sediminibacterium
135704,"2, R926","CIP 77.29, ATCC 29789, CCM 2848",0,"Schinkia azotoformans",Schinkia
1281,PN5,"DSM 21993, JCM 15113, LMG 23935, MTCC 9127, CCUG 55698",1,"Solibacillus cecembensis",Solibacillus
152601,,"CCUG 47175",0,"Shouchella clausii",Shouchella
154778,,"CCUG 55167",0,"Shouchella clausii",Shouchella
140055,,,0,"Siminovitchia composti",Siminovitchia
156956,,"CCUG 67382 Q",0,"Sutcliffiella horikoshii",Sutcliffiella
156982,,"CCUG 68097 Q",0,"Sutcliffiella horikoshii",Sutcliffiella
157167,,"CCUG 69923",0,"Sutcliffiella horikoshii",Sutcliffiella
156875,,"CCUG 66250",0,"Shouchella oshimensis",Shouchella
155415,,"CCUG 57664, JCM 15945, LMG 24221, NCCB 100278",0,"Shouchella lonarensis",Shouchella
154461,,"CCUG 53706",0,"Solibacillus silvestris",Solibacillus
140573,RA9,"LMG 29736, CECT 9170",1,"Siminovitchia terrae",Siminovitchia
140056,,,0,"Siminovitchia thermophila",Siminovitchia
1584,"LRA 048 07 85","CCUG 25931, DSM 1396, ATCC 23745, NCTC 10581, CIP 103754, JCM 11018",0,"Sphaerophorus intermedius",Sphaerophorus
156909,,"CCUG 66741",0,"Scandinavium goeteborgense",Scandinavium
161531,,"JCM 14698",0,"Salipiger sp.",Salipiger
130602,G100,"DSM 14993",0,"Salipiger sp.",Salipiger
100547,STH00046(ZIMET),"IAM 12845, HKI 0046, JCM 2574",0,"Salimicrobium album",Salimicrobium
161856,,"JCM 16670",0,"Schnuerera ultunensis",Schnuerera
164000,,"JCM 31280",0,"Sarcina ventriculi",Sarcina
164001,,"JCM 31281",0,"Sarcina ventriculi",Sarcina
163980,,"JCM 31252",0,"Sarcina ventriculi",Sarcina
