ID,designation_header,strain_number_header,is_type_strain_header,species,genus
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",Vallitalea
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,"Veronia pacifica",Veronia
157681,42Xb2,"DSM 24592, CAIM 600, CECT 7578",0,"Veronia nyctiphanis",Veronia
131373,"DD 39","DSM 15938, JCM 11692, MTCC 4321, CGMCC 1.7263, CIP 107768",1,"Vreelandella glaciei",Vreelandella
138529,,"CIP 107768",0,"Vreelandella glaciei",Vreelandella
140407,RHS90,"DSM 25632, CIP 110370, UBOCC 3186",0,"Vreelandella lionensis",Vreelandella
160209,QX-1,"DSM 112092, MCCC 1A17875, KCTC 82198, NBRC 114670",0,"Vreelandella maris",Vreelandella
160639,QX-2,"DSM 112091, MCCC 1A17876, KCTC 82199",0,"Vreelandella sedimenti",Vreelandella
158125,P2426,"DSM 103116, Marseille-P2426",0,"Vreelandella massiliensis",Vreelandella
131374,NEAU-ST10-25,"DSM 25869, CGMCC 1.12286",0,"Vreelandella zhaodongensis",Vreelandella
17223,,"DSM 7482, ATCC 33539, CCUG 13626, KCTC 12323, LMG 7892, CDC 2588-80, CIP 102761, NCIMB 2184",1,"Vibrio damselae",Vibrio
160412,110634,"DSM 110634",0,"Vibrio damselae",Vibrio
137420,C-41,"CIP 104416, JCM 8969",0,"Vibrio damselae",Vibrio
143435,,"CCUG 19117, ATCC 35083",0,"Vibrio damselae",Vibrio
142842,,"CCUG 15267, CCM 4549",0,"Vibrio damselae",Vibrio
136606,C-3,"CIP 104415, JCM 8967",0,"Vibrio damselae",Vibrio
138580,,"CIP 100540",0,"Vibrio damselae",Vibrio
160410,110632,"DSM 110632",0,"Vibrio damselae",Vibrio
160411,110633,"DSM 110633",0,"Vibrio damselae",Vibrio
17241,,"DSM 11403, ATCC 33508, NCIMB 701, CCUG 20305, JCM 15095, BCRC 12910, CAIM 910, CCM 3575, CECT 4059, CGMCC 1.2322, CIP 103310, LMG 11651, LMG 6460, NCCB 77008",1,"Vibrio costicola",Vibrio
134498,,"CIP 63.39, CCM 2811, NCIMB 1001",0,"Vibrio costicola",Vibrio
143576,,"CCUG 20306",0,"Vibrio costicola",Vibrio
159898,,"DSM 103714, Marseille P3275, CECT 9677, CSUR P3275",1,"Vaginimicrobium propionicum",Vaginimicrobium
133628,AC-1,"KCTC 13418, LMG 24798",1,"Vagococcus acidifermentans",Vagococcus
169946,BWB3-3,"CCM 9080, KCTC 43277",1,"Vagococcus allomyrinae",Vagococcus
157225,SS1994,"CCUG 70831, LMG 30164",1,"Vagococcus bubulae",Vagococcus
5267,,"DSM 17031, ATCC BAA-640, CCUG 46823, CIP 108561, CDC SS1714, CCM 8414",1,"Vagococcus carniphilus",Vagococcus
166761,"also known as KACC 21344, or JCM 33682, HDW17A","KCTC 43112, KACC 21344, JCM 33682",1,"Vagococcus coleopterorum",Vagococcus
5268,PPC9,"DSM 21480, CCUG 51432, NRRL B-41357, CIP 109559, CCM 8415",1,"Vagococcus elongatus",Vagococcus
24001,VOSTP2,"DSM 24756, CCM 7946",1,"Vagococcus entomophilus",Vagococcus
5265,M2661/98/1,"DSM 15697, ATCC BAA-289, CCUG 41755, CIP 106499, CCM 8413",1,"Vagococcus fessus",Vagococcus
150814,,"CCUG 42419 B",0,"Vagococcus fessus",Vagococcus
5262,M-29c,"DSM 5731, ATCC 49515, NCDO 2497, CCUG 32704, CIP 102976, LMG 9464",1,"Vagococcus fluvialis",Vagococcus
150044,,"CCUG 38909",0,"Vagococcus fluvialis",Vagococcus
150045,,"CCUG 38910",0,"Vagococcus fluvialis",Vagococcus
147041,,,0,"Vagococcus fluvialis",Vagococcus
150962,,"CCUG 42871",0,"Vagococcus fluvialis",Vagococcus
147339,,"CCUG 33393",0,"Vagococcus fluvialis",Vagococcus
5263,M-128f,"DSM 5732, NCDO 2499",0,"Vagococcus fluvialis",Vagococcus
5264,ENDO-EH,"DSM 21402",0,"Vagococcus fluvialis",Vagococcus
137500,,"CIP 65.27",0,"Vagococcus fluvialis",Vagococcus
137806,,"CIP 102977, DSM 18578",0,"Avibacterium volantium",Avibacterium
133339,C25,"KEMB 562-002, JCM 31581",1,"Vagococcus humatus",Vagococcus
166679,"or JCM 33683, also known as KACC 21345, HDW17B","KCTC 43113, JCM 33683, KACC 21345",1,"Vagococcus hydrophili",Vagococcus
170475,STAA11,"DSM 115183, CCUG 76697",1,"Vagococcus intermedius",Vagococcus
170474,G314F,"DSM 112651, CCM 9164",1,"Vagococcus luciliae",Vagococcus
5266,M1134/97/1,"DSM 15741, ATCC 70083, CCM 4937, CCUG 39187, CIP 106118, ATCC 700839",1,"Vagococcus lutrae",Vagococcus
140716,D7T301,"KCTC 21069, JCM 31178",1,"Vagococcus martis",Vagococcus
133543,"CD276, CD 276","LMG 24833, CIP 109914, CCM 8416",1,"Vagococcus penaei",Vagococcus
170476,PNs007,"CCUG 76696, DSM 115185",1,"Vagococcus proximus",Vagococcus
5261,OS1-68,"DSM 6633, ATCC 51200, NCFB 2777, CCUG 33394, LMG 11491, CCM 4305, CIP 104684, NCIMB 13133",1,"Vagococcus salmoninarum",Vagococcus
167346,2B-2,"BCRC 81132, NBRC 113536",1,"Vagococcus silagei",Vagococcus
140286,CG-21,"DSM 21459",1,"Vagococcus teuberi",Vagococcus
157226,SS1995,"CCUG 70832, LMG 30165",1,"Vagococcus vulneris",Vagococcus
164576,,"JCM 33477, CGMCC 1.6436, GDMCC 1.1588",1,"Vagococcus xieshaowenii",Vagococcus
166364,,"DSM 45377, KCTC 49228, CGMCC 1.13844, YIM 75000",1,"Vallicoccus soli",Vallicoccus
24770,"Ra 1766F, Ra1766G1","DSM 24848, JCM 17997",1,"Vallitalea guaymasensis",Vallitalea
170417,SH18-1,"DSM 114058, NBRC 115488",1,"Vallitalea longa",Vallitalea
166431,S15,"CGMCC 1.5231, KCTC 15675",1,"Vallitalea okinawensis",Vallitalea
24771,FatNI3,"DSM 25904, JCM 18391",1,"Vallitalea pronyensis",Vallitalea
169128,"NCIB 11383","ATCC 29753, NCIMB 11383",1,"Vampirovibrio chlorellavorus",Vampirovibrio
168275,"NML 03-0146","LMG 31935, NCTC 14450",1,"Vandammella animalimorsus",Vandammella
130614,M-M22,"DSM 29440, CCUG 62794, KCTC 32083",1,"Vannielia litorea",Vannielia
132591,,"DSM 27023, CCUG 31793, JCM 19104",1,"Varibaculum anthropi",Varibaculum
151526,,"CCUG 44221",0,"Varibaculum anthropi",Varibaculum
151885,,"CCUG 45114",0,"Varibaculum anthropi",Varibaculum
156351,,"CCUG 61255",0,"Varibaculum anthropi",Varibaculum
210,R12359,"DSM 15806, CCUG 44998, CIP 107344",1,"Varibaculum cambriense",Varibaculum
151827,,"CCUG 44992",0,"Varibaculum cambriense",Varibaculum
151882,,"CCUG 45111",0,"Varibaculum cambriense",Varibaculum
151883,,"CCUG 45112",0,"Varibaculum cambriense",Varibaculum
151884,,"CCUG 45113",0,"Varibaculum cambriense",Varibaculum
143685,,"CCUG 20976",0,"Varibaculum cambriense",Varibaculum
149327,,"CCUG 37510",0,"Varibaculum cambriense",Varibaculum
143686,,"CCUG 20977",0,"Varibaculum cambriense",Varibaculum
147803,,"CCUG 34258",0,"Varibaculum cambriense",Varibaculum
152496,,"CCUG 46939",0,"Varibaculum cambriense",Varibaculum
153984,,"CCUG 51839",0,"Varibaculum cambriense",Varibaculum
151832,,"CCUG 45001",0,"Varibaculum sp.",Varibaculum
151886,,"CCUG 45115",0,"Varibaculum sp.",Varibaculum
132592,HallR11881,"DSM 27024, CCUG 44993, JCM 19105, CCUG 45271",0,"Varibaculum sp.",Varibaculum
132593,,"DSM 103074, CSUR P2802, Marseille-P2802",0,"Varibaculum massiliense",Varibaculum
166990,,"Marseille-­P3369, CECT 9674, CSUR P3369",1,"Varibaculum timonense",Varibaculum
166981,,"CSUR P5644, CECT 9906, Marseille-­P5644",1,"Varibaculum vaginae",Varibaculum
130225,GJW-30,"DSM 29671, CECT 8514, KCTC 32391, LMG 28093",1,"Variibacter gotjawalensis",Variibacter
169769,MD1,"DSM 110715, JCM 39125",1,"Variimorphobacter saccharofermentans",Variimorphobacter
