ID,designation_header,strain_number_header,is_type_strain_header,species,genus
167646,B120,"NCCB 100485, CFBP 8182",1,"Winslowiella iniecta",Winslowiella
4401,A37,"DSM 18073, ATCC 700880, CECT 5263, CFBP 6631, CIP 108675",1,"Winslowiella toletana",Winslowiella
151617,,"CCUG 44465",0,"Wielerella bovis",Wielerella
158549,HMF6543,"KCTC 52401, NBRC 112674, HME 6543",1,"Wocania arenilitoris",Wocania
131415,NEAU-Jh3-20,"DSM 42170, CGMCC 4.7201",1,"Wenjunlia tyrosinilytica",Wenjunlia
16329,,"DSM 41686, ATCC 31673, FERM P-5702, IFO 14294, NBRC 14294, JCM 6054, NRRL B-16933",1,"Wenjunlia vitaminophila",Wenjunlia
168243,"WSU 86-1044","ATCC VR-1470",1,"Waddlia chondrophila",Waddlia
24666,2032/99,"DSM 27628",0,"Waddlia chondrophila",Waddlia
159187,WCA3-601-WT-6H,"DSM 108985, JCM 34425",0,"Waltera intestinalis",Waltera
133540,Haldis-1,"KCTC 22610, NBRC 105642, JCM 16083",1,"Wandonia haliotis",Wandonia
23432,NEAU-J3,"DSM 45747, CGMCC 4.7039",0,"Jidongwangia harbinensis",Jidongwangia
149344,,"CCUG 37547",0,"Wautersia 'reducta'",Wautersia
149636,,"CCUG 38099",0,"Wautersia 'reducta'",Wautersia
141505,,"CCUG 2472, ATCC 11451, LMG 2233, CIP 59.16, LMG 5122",0,"Wautersia 'reducta'",Wautersia
2000,"335, R-10-e","DSM 531, ATCC 17697, CCUG 1776, LMG 1199, IMET 10383, JCM 11282, BCRC 17389, CECT 4634, CIP 104763, IAM 12368, IAM 13533, ICPB 3984, JCM 20521, JCM 20893, KACC 10467, KACC 10791, NBRC 102504, NCIMB 11842, NRRL B-14690, NRRL B-4383, JCM 9691",1,"Wautersia eutropha",Wautersia
153888,,"CCUG 51536, CIP 108861",1,"Empedobacter falsenii",Empedobacter
139042,528-75,"CIP 111034",0,"Empedobacter falsenii",Empedobacter
139481,Follain,"CIP 111075, CIP 200705",0,"Empedobacter falsenii",Empedobacter
139502,507-76,"CIP 111036",0,"Empedobacter falsenii",Empedobacter
139505,,"CIP 111037",0,"Empedobacter falsenii",Empedobacter
139554,Levy,"CIP 111076, CIP 200706",0,"Empedobacter falsenii",Empedobacter
156636,,"CCUG 63778",0,"Empedobacter falsenii",Empedobacter
156710,,"CCUG 64295",0,"Empedobacter falsenii",Empedobacter
143201,,"CCUG 17732",0,"Empedobacter sp.",Empedobacter
153889,,"CCUG 51537, CIP 108860",0,"Empedobacter sp.",Empedobacter
140330,FF8,"DSM 28259, CSUR P860",1,"Weeksella massiliensis",Weeksella
144502,,"CCUG 25379",0,"Weeksella sp.",Weeksella
5661,"CL345/78, 9751","DSM 16922, ATCC 43766, CDC 9751, CIP 103040, NCTC 11634, CCUG 30538, JCM 21250, IAM 14551, IFO 16016, LMG 12995, NBRC 16016",1,"Weeksella virosa",Weeksella
144942,,"CCUG 27224",0,"Weeksella virosa",Weeksella
135714,"1.81, B1270","CIP 82.2, NCTC 10798, CCUG 3719",0,"Weeksella virosa",Weeksella
145867,,"CCUG 29838, CCM 4560",0,"Weeksella virosa",Weeksella
137450,B90827,"CIP 81.91",0,"Weeksella virosa",Weeksella
139446,681-76,"CIP 111039",0,"Weeksella virosa",Weeksella
141364,,"CCUG 1191",0,"Weeksella virosa",Weeksella
142377,,"CCUG 12097",0,"Weeksella virosa",Weeksella
142409,,"CCUG 12409",0,"Weeksella virosa",Weeksella
143151,,"CCUG 17508",0,"Weeksella virosa",Weeksella
143152,,"CCUG 17509",0,"Weeksella virosa",Weeksella
153836,,"CCUG 51319",0,"Weeksella virosa",Weeksella
153872,,"CCUG 51459",0,"Weeksella virosa",Weeksella
155297,,"CCUG 57244",0,"Weeksella virosa",Weeksella
150839,,"CCUG 42536",0,"Weeksella virosa",Weeksella
174295,,"CIP 109985",0,"Weeksella virosa",Weeksella
131379,"H 24-37","DSM 28794, LMG 28290",1,"Weissella bombi",Weissella
155921,,"CCUG 59653, CECT 7719",1,"Weissella ceti",Weissella
6857,II-I-59,"DSM 15878, CCUG 41967, LMG 17699, CIP 107376, KCTC 3807, JCM 12495, NBRC 106073, KCTC 3817",1,"Weissella cibaria",Weissella
6856,CHJ3,"DSM 14295, KCCM 41287, KCTC 3746, CIP 108011",0,"Weissella cibaria",Weissella
147453,,"CCUG 33604, LMG 18501",0,"Weissella cibaria",Weissella
148155,,"CCUG 34912",0,"Weissella cibaria",Weissella
149601,,"CCUG 38043",0,"Weissella cibaria",Weissella
155278,,"CCUG 57177",0,"Weissella cibaria",Weissella
165612,,"JCM 7777",0,"Weissella cibaria",Weissella
172308,"LBAE K39","CIP 110545",0,"Weissella cibaria",Weissella
172309,,CRBIP24.131,0,"Weissella cibaria",Weissella
172310,,CRBIP24.95,0,"Weissella cibaria",Weissella
164632,,"JCM 33684, KACC 21347, KCTC 43114",1,"Weissella coleopterorum",Weissella
6844,548-D,"DSM 20196, ATCC 10881, NCDO 1586, NCIB 9311, CCUG 30113, JCM 1093, BCRC 14002, CECT 4707, CIP 103172, LMG 9497, NBRC 106469, NCIMB 9311, NRIC 0207, NRRL B-1064, VTT E-90393",1,"Weissella confusa",Weissella
6843,,"DSM 20194, NCDO 1975, CIP 102979",0,"Weissella confusa",Weissella
146270,,"CCUG 30763",0,"Weissella confusa",Weissella
146336,,"CCUG 30943",0,"Weissella confusa",Weissella
146342,,"CCUG 30969",0,"Weissella confusa",Weissella
138045,573-86,"CIP 102578",0,"Weissella confusa",Weissella
138177,R-915-5,"CIP 105139, ATCC 14434, JCM 1562, LMG 11983, NCFB 1969",0,"Weissella confusa",Weissella
148893,,"CCUG 36556, LMG 17670",0,"Weissella confusa",Weissella
149544,,"CCUG 37938",0,"Weissella confusa",Weissella
143159,,"CCUG 17582",0,"Weissella confusa",Weissella
153809,,"CCUG 51220",0,"Weissella confusa",Weissella
154588,,"CCUG 54486",0,"Weissella confusa",Weissella
150163,,"CCUG 39150",0,"Weissella confusa",Weissella
150289,,"CCUG 39518",0,"Weissella confusa",Weissella
155557,,"CCUG 58143",0,"Weissella confusa",Weissella
150448,,"CCUG 39957",0,"Weissella confusa",Weissella
150685,,"CCUG 41966, LMG 18815",0,"Weissella confusa",Weissella
150718,,"CCUG 42040",0,"Weissella confusa",Weissella
151003,,"CCUG 43002",0,"Weissella confusa",Weissella
156396,,"CCUG 61560",0,"Weissella confusa",Weissella
172653,,CRBIP24.132,0,"Weissella confusa",Weissella
166205,26KH-42,"KACC 18423, NBRC 113066",1,"Periweissella cryptocerci",Periweissella
24151,ORY33,"DSM 27940, JCM 18559, KACC 16890",1,"Weissella diestrammenae",Weissella
170472,HBUAS51963,"JCM 35803, GDMCC 1.3506",1,"Weissella fangxianensis",Weissella
6845,G1,"CCUG 33457, LMG 9469, DSM 20190, ATCC 35410, JCM 1114, BCRC 14050, CECT 573, CGMCC 1.2440, CIP 103005, NCIMB 702781, NRIC 1627, VTT E-98965",1,"Weissella halotolerans",Weissella
6852,LV346,"DSM 7378, ATCC 51523, NCFB 2973, CCUG 33494, LMG 15125, JCM 10103, CECT 7033, CIP 109879, IFO 15553, KCTC 3668, NBRC 15553, NCIMB 702973",1,"Weissella hellenica",Weissella
