ID,designation_header,strain_number_header,is_type_strain_header,species,genus
138215,GA33,"CIP 105473, ATCC 19188, JCM 14576, KCTC 15681",1,"Xylanibacter brevis",Xylanibacter
12545,KB3,"DSM 17970, JCM 13648",1,"Xylanibacter oryzae",Xylanibacter
12546,"KB 10","DSM 17971, JCM 13649",0,"Xylanibacter oryzae",Xylanibacter
158435,109,"DSM 105141, VKM B-2992",1,"Xylanibacter rarus",Xylanibacter
165980,,"JCM 8958, ATCC 19189",1,"Xylanibacter ruminicola",Xylanibacter
13144,PC1,"DSM 21306, ATCC 33616, CCM 2888, CCUG 18839, CIP 106723, ICMP 8561, LMG 2167, NCPPB 2982, JCM 13362, CIP 105155, LMG 21719",1,"Xanthomonas cissicola",Xanthomonas
17418,,"DSM 3770, ATCC 43847",1,"Xanthobacter agilis",Xanthobacter
17438,14A,"DSM 15009, ATCC BAA-299, VKM B-2254, CIP 108461",1,"Xanthobacter aminoxidans",Xanthobacter
17420,7C,"DSM 432, ATCC 35674, JCM 1202, BCRC 12235, CIP 105431, IAM 12579, IAM 12636, LMG 7043, NBRC 102463, NCAIM B.01945, NCIMB 10809, NRRL B-14836, CCRC 12235",1,"Xanthobacter autotrophicus",Xanthobacter
151710,,"CCUG 44692",0,"Xanthobacter autotrophicus",Xanthobacter
17419,14g,"DSM 431, JCM 1201, CIP 105432, IAM 12635, NCIMB 10811",0,"Xanthobacter autotrophicus",Xanthobacter
17421,"TK 0519","DSM 597, RH 10, JCM 7864, CIP 105437",0,"Xanthobacter autotrophicus",Xanthobacter
17422,23A,"DSM 685, JCM 1203, CIP 105433",0,"Xanthobacter autotrophicus",Xanthobacter
17423,GZ29,"DSM 1393",0,"Xanthobacter autotrophicus",Xanthobacter
17424,"JW 33","DSM 1618, IFO 14758, NBRC 14758",0,"Xanthobacter autotrophicus",Xanthobacter
17425,19/-/X,"DSM 2009",0,"Xanthobacter autotrophicus",Xanthobacter
17426,"7C SF","DSM 2267",0,"Xanthobacter autotrophicus",Xanthobacter
17427,GJ10,"DSM 3874",0,"Xanthobacter autotrophicus",Xanthobacter
168419,YN2,"CGMCC 1.19031, JCM 34666",1,"Xanthobacter dioxanivorans",Xanthobacter
17428,301,"DSM 338, ATCC 35867, IFO 14759, NBRC 14759, NCIB 10071, JCM 1204, BCRC 12271, CCM 4469, CIP 105434, LMG 7045, NCAIM B.01946, NCIMB 10071, NRRL B-14838, VKM B-2106, CCRC 12271",1,"Xanthobacter flavus",Xanthobacter
17429,14p1,"DSM 10330",0,"Xanthobacter flavus",Xanthobacter
167792,29k,"KCTC 72777, VKM B-3453",1,"Xanthobacter oligotrophicus",Xanthobacter
155725,,"CCUG 59146",0,"Xanthobacter sp.",Xanthobacter
139788,W30,"DSM 24535",0,"Xanthobacter sp.",Xanthobacter
17430,124X,"DSM 6696, ATCC 49450",0,"Xanthobacter sp.",Xanthobacter
17431,,"DSM 14517, CB 2",0,"Xanthobacter sp.",Xanthobacter
17432,,"DSM 14518, CB 3",0,"Xanthobacter sp.",Xanthobacter
17433,,"DSM 14519, CB 5",0,"Xanthobacter sp.",Xanthobacter
17434,,"DSM 14520, CB 6",0,"Xanthobacter sp.",Xanthobacter
17435,R-10,"DSM 14521",0,"Xanthobacter sp.",Xanthobacter
17436,TagT2C,"DSM 11105",1,"Xanthobacter tagetidis",Xanthobacter
17437,KA,"DSM 11602",0,"Xanthobacter tagetidis",Xanthobacter
17439,7d,"DSM 21355, ATCC BAA-298, KCTC 12306, VKM B-2253, CIP 108462",1,"Xanthobacter viscosus",Xanthobacter
162306,,"JCM 18821, MTCC 11705",1,"Xanthomarina gelatinilytica",Xanthomarina
5589,A2,"DSM 22637, KCTC 22662",1,"Xanthomarina spongicola",Xanthomarina
17578,ZA6,"DSM 3583, ATCC 33915, NCPPB 2969, PDDCC 196",1,"Xanthomonas albilineans",Xanthomonas
168641,,"LMG 495, ICPB 10701, ATCC 11765, ICMP 15807",1,"Xanthomonas euvesicatoria",Xanthomonas
167612,,"ICPB 10483, ICMP 15808, LMG 9325, ATCC 49120",1,"Xanthomonas alfalfae subsp. citrumelonis",Xanthomonas
17602,S3,"DSM 18808, ATCC 49083, CFBP 2528, ICMP 35, LMG 747, NCPPB 411",1,"Xanthomonas arboricola",Xanthomonas
17604,5262,"DSM 50854, ATCC 19313, ICPB XC 12, NCPPB 935, CFBP 1159",0,"Xanthomonas arboricola",Xanthomonas
17601,"MPS 1","DSM 1049, ATCC 29078, ICPB XJ 103",0,"Xanthomonas arboricola",Xanthomonas
17603,ZZ26,"DSM 50853, ATCC 19046, ICPB XC 144",0,"Xanthomonas arboricola",Xanthomonas
17593,,"DSM 3585, ATCC 19312, ICPB XA 103, LMG 982, NCPPB 457, CFBP 4924",1,"Xanthomonas axonopodis",Xanthomonas
17594,,"DSM 50850, DSM 60127, LMG 7178",0,"Xanthomonas axonopodis",Xanthomonas
170010,FX4,"DSM 112530, CFBP 8703",1,"Xanthomonas bonasiae",Xanthomonas
17605,,"DSM 18804, CFBP 1976, ICMP 12545, LMG 947",1,"Xanthomonas bromi",Xanthomonas
17584,"P 25","DSM 3586, ATCC 33913, NCPPB 528, PDDCC 13, CCUG 47691, LMG 568, CECT 97, ICMP 13, CFBP 5251, JCM 13371, BCRC 12846, CFBP 2350, CFBP 5241, CIP 100069",1,"Xanthomonas campestris",Xanthomonas
157556,,"IMI 349480",0,"Xanthomonas campestris",Xanthomonas
157557,,"IMI 349452",0,"Xanthomonas campestris",Xanthomonas
157558,,"IMI 349471",0,"Xanthomonas campestris",Xanthomonas
157559,,"IMI 349485",0,"Xanthomonas campestris",Xanthomonas
157560,,"IMI 349451",0,"Xanthomonas campestris",Xanthomonas
157561,,"IMI 349477",0,"Xanthomonas campestris",Xanthomonas
157562,,"IMI 349473",0,"Xanthomonas campestris",Xanthomonas
157563,,"IMI 349435",0,"Xanthomonas campestris",Xanthomonas
