ID,designation_header,strain_number_header,is_type_strain_header,species,genus
140770,OISW-6,"KCTC 52837, NBRC 112781",1,"Yoonia acticola",Yoonia
131301,W-SW2,"DSM 101064, KCTC 42133",1,"Yoonia ponticola",Yoonia
7788,,"DSM 16377, KCTC 19047, YIM 70178, JCM 13595, CIP 108969",1,"Yaniella flava",Yaniella
7787,,"DSM 15476, CCTCC AA 001023, JCM 13527, YIM 70085, NBRC 107837",1,"Yaniella halotolerans",Yaniella
7789,,"DSM 22211, KCTC 13527, JSM 070026, JCM 19966",1,"Yaniella soli",Yaniella
134176,GW1-1,"KCCM 42019, JCM 12862, CIP 109255, NCIMB 14311",1,"Yeosuana aromativorans",Yeosuana
164081,,"JCM 31511, CGMCC 1.15787",1,"Yeosuana marina",Yeosuana
5221,,"DSM 18303, ATCC 35236, CCUG 18770, CDC 669-83, CNY 6005, JCM 5892, CECT 4314, CIP 103162",1,"Yersinia aldovae",Yersinia
139038,,"CIP 104233, CNY 8616",0,"Yersinia aldovae",Yersinia
143372,,"CCUG 18771, ATCC 35237",0,"Yersinia aldovae",Yersinia
144776,,"CCUG 26532",0,"Yersinia aldovae",Yersinia
135445,,"CIP 104234, CNY 7618",0,"Yersinia aldovae",Yersinia
135446,,"CIP 104235, CNY 7096",0,"Yersinia aldovae",Yersinia
135451,,"CIP 104236, CNY 7330",0,"Yersinia aldovae",Yersinia
144866,,"CCUG 26915",0,"Yersinia aldovae",Yersinia
5218,"Y159, H254-36/86, Y 159","DSM 14987, CIP 109000, LMG 22254, CCUG 52872, WA 758, WA 120",1,"Yersinia aleksiciae",Yersinia
154240,,"CCUG 52873",0,"Yersinia aleksiciae",Yersinia
154241,,"CCUG 52874",0,"Yersinia aleksiciae",Yersinia
154242,,"CCUG 52875",0,"Yersinia aleksiciae",Yersinia
154243,,"CCUG 52876",0,"Yersinia aleksiciae",Yersinia
154244,,"CCUG 52877",0,"Yersinia aleksiciae",Yersinia
154245,,"CCUG 52878",0,"Yersinia aleksiciae",Yersinia
154246,,"CCUG 52879",0,"Yersinia aleksiciae",Yersinia
154247,,"CCUG 52880",0,"Yersinia aleksiciae",Yersinia
154248,,"CCUG 52881",0,"Yersinia aleksiciae",Yersinia
167183,IP38850,"CIP 111848, DSM 110726, IP 38850",1,"Yersinia alsatica",Yersinia
167172,IP42281,"DSM 110725, CIP 111845, IP 42281",1,"Yersinia artesiana",Yersinia
5226,,"DSM 18528, ATCC 43970, CCUG 26329, CIP 103323, CNY 7506",1,"Yersinia bercovieri",Yersinia
138412,,"CIP 103327, CCUG 26330, CNY 19985",0,"Yersinia bercovieri",Yersinia
144778,,"CCUG 26537",0,"Yersinia bercovieri",Yersinia
144779,,"CCUG 26538",0,"Yersinia bercovieri",Yersinia
144780,,"CCUG 26539",0,"Yersinia bercovieri",Yersinia
138120,,"CIP 104889, CNY 24595",0,"Yersinia bercovieri",Yersinia
167666,SRR7544370T,"NCTC 14382, LMG 31573T",1,"Yersinia canariae",Yersinia
171333,,"CIP 111846",1,"Yersinia canariae",Yersinia
142062,,"CCUG 10211",0,"Yersinia enterocolitica",Yersinia
142677,,"CCUG 13741",0,"Yersinia enterocolitica",Yersinia
143058,,"CCUG 16728",0,"Yersinia enterocolitica",Yersinia
143129,,"CCUG 17328",0,"Yersinia enterocolitica",Yersinia
138918,"Lucas 212","CIP 65.29",0,"Yersinia enterocolitica",Yersinia
143311,,"CCUG 18381",0,"Yersinia enterocolitica",Yersinia
143626,,"CCUG 20640",0,"Yersinia enterocolitica",Yersinia
144046,,"CCUG 22570",0,"Yersinia enterocolitica",Yersinia
141850,,"CCUG 7758",0,"Yersinia enterocolitica",Yersinia
144528,,"CCUG 25567",0,"Yersinia enterocolitica",Yersinia
141880,,"CCUG 8050",0,"Yersinia enterocolitica",Yersinia
141888,,"CCUG 8231",0,"Yersinia enterocolitica",Yersinia
141889,,"CCUG 8232",0,"Yersinia enterocolitica",Yersinia
141890,,"CCUG 8234",0,"Yersinia enterocolitica",Yersinia
141891,,"CCUG 8235",0,"Yersinia enterocolitica",Yersinia
141892,,"CCUG 8236",0,"Yersinia enterocolitica",Yersinia
141893,,"CCUG 8237",0,"Yersinia enterocolitica",Yersinia
141894,,"CCUG 8238, CCUG 4587A",0,"Yersinia enterocolitica",Yersinia
141895,,"CCUG 8240",0,"Yersinia enterocolitica",Yersinia
141897,,"CCUG 8243",0,"Yersinia enterocolitica",Yersinia
141898,,"CCUG 8244",0,"Yersinia enterocolitica",Yersinia
141899,,"CCUG 8245",0,"Yersinia enterocolitica",Yersinia
141902,,"CCUG 8248",0,"Yersinia enterocolitica",Yersinia
141903,,"CCUG 8249",0,"Yersinia enterocolitica",Yersinia
141904,,"CCUG 8250",0,"Yersinia enterocolitica",Yersinia
141905,,"CCUG 8251",0,"Yersinia enterocolitica",Yersinia
141906,,"CCUG 8252",0,"Yersinia enterocolitica",Yersinia
135678,7794,"CIP 72.5",0,"Yersinia enterocolitica",Yersinia
135843,615.85,"CIP 101776",0,"Yersinia enterocolitica",Yersinia
23975,YeO3-R1,"DSM 23247",0,"Yersinia enterocolitica",Yersinia
137323,,"CIP 106676, IP 885",0,"Yersinia enterocolitica",Yersinia
23976,6471/76,"DSM 23248",0,"Yersinia enterocolitica",Yersinia
23977,8081-C,"DSM 23249",0,"Yersinia enterocolitica",Yersinia
23978,YeO3-c-trs8-R,"DSM 23250",0,"Yersinia enterocolitica",Yersinia
134634,,"CIP 107202, IP 102",0,"Yersinia enterocolitica",Yersinia
145642,,"CCUG 29125",0,"Yersinia enterocolitica",Yersinia
146175,,"CCUG 30507",0,"Yersinia enterocolitica",Yersinia
146559,,"CCUG 31436",0,"Yersinia enterocolitica",Yersinia
146630,,"CCUG 31654",0,"Yersinia enterocolitica",Yersinia
146666,,"CCUG 31752",0,"Yersinia enterocolitica",Yersinia
147069,,"CCUG 32786",0,"Yersinia enterocolitica",Yersinia
147209,,"CCUG 33055, CIP Ye 2705, ATCC 27729, NCTC 10938",0,"Yersinia enterocolitica",Yersinia
147414,,"CCUG 33553, NCTC 10460",0,"Yersinia enterocolitica",Yersinia
147972,,"CCUG 34604",0,"Yersinia enterocolitica",Yersinia
149000,,"CCUG 36700",0,"Yersinia enterocolitica",Yersinia
149480,,"CCUG 37816",0,"Yersinia enterocolitica",Yersinia
149508,,"CCUG 37880",0,"Yersinia enterocolitica",Yersinia
149534,,"CCUG 37920",0,"Yersinia enterocolitica",Yersinia
149890,,"CCUG 38621",0,"Yersinia enterocolitica",Yersinia
156498,,"CCUG 62190",0,"Yersinia enterocolitica",Yersinia
150217,,"CCUG 39301",0,"Yersinia enterocolitica",Yersinia
156738,,"CCUG 64718",0,"Yersinia enterocolitica",Yersinia
150618,,"CCUG 41767",0,"Yersinia enterocolitica",Yersinia
150937,,"CCUG 42789",0,"Yersinia enterocolitica",Yersinia
151100,,"CCUG 43275",0,"Yersinia enterocolitica",Yersinia
151350,,"CCUG 43819",0,"Yersinia enterocolitica",Yersinia
152053,,"CCUG 45643",0,"Yersinia enterocolitica",Yersinia
152197,,"CCUG 46041",0,"Yersinia enterocolitica",Yersinia
153365,,"CCUG 49352",0,"Yersinia enterocolitica",Yersinia
153786,,"CCUG 50971",0,"Yersinia enterocolitica",Yersinia
169336,Cla-JM-1,"DSM 110076",0,"Yersinia enterocolitica",Yersinia
172678,CARE_00001,"CIP 111957, IP 42547",0,"Yersinia enterocolitica",Yersinia
172679,CARE_00002,"CIP 111958, IP 41598",0,"Yersinia enterocolitica",Yersinia
172680,CARE_00003,"CIP 111959, IP 42863",0,"Yersinia enterocolitica",Yersinia
172681,CARE_00004,"CIP 111960, IP 39727",0,"Yersinia enterocolitica",Yersinia
172682,CARE_00007,"CIP 111963, IP 41365",0,"Yersinia enterocolitica",Yersinia
172683,CARE_00008,"CIP 111964, IP 42937",0,"Yersinia enterocolitica",Yersinia
172684,CARE_00009,"CIP 111965, IP 39720",0,"Yersinia enterocolitica",Yersinia
172685,CARE_00010,"CIP 111966, IP 43284",0,"Yersinia enterocolitica",Yersinia
172686,CARE_00011,"CIP 111967, IP 42251",0,"Yersinia enterocolitica",Yersinia
172687,CARE_00012,"CIP 111968, IP 39976",0,"Yersinia enterocolitica",Yersinia
172688,CARE_00015,"CIP 111971, IP 39285",0,"Yersinia enterocolitica",Yersinia
172689,CARE_00013,"CIP 111969, IP 42503",0,"Yersinia enterocolitica",Yersinia
172690,CARE_00014,"CIP 111970, IP 39890",0,"Yersinia enterocolitica",Yersinia
172691,CARE_00016,"CIP 111972, IP 05342",0,"Yersinia enterocolitica",Yersinia
172692,CARE_00017,"CIP 111973, IP 39779",0,"Yersinia enterocolitica",Yersinia
172693,CARE_00021,"CIP 111977, IP 35935",0,"Yersinia enterocolitica",Yersinia
172694,CARE_00022,"CIP 111978, IP 36813",0,"Yersinia enterocolitica",Yersinia
5210,33114,"DSM 4780, ATCC 9610, CIP 80.27, NCTC 12982, WDCM 00038, JCM 7577, BCRC 13999, CCM 7204, CCUG 11291, CCUG 12369, CECT 4315, ICMP 15678, LMG 7899, NBRC 105693, NRIC 0819, VTT E-97838, CNY 161",1,"Yersinia enterocolitica",Yersinia
23974,"H 576/86","DSM 11504",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
23979,,"DSM 27689, ATCC 23715, CECT 8263, NCTC 10598, WDCM 00160, CIP 111053",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
23980,"W22703pYV-, W22703pYV<sup>-</sup>","DSM 28012",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
5212,,"DSM 9499, CIP 81.42, NCTC 11174, CNY 383, WDCM 00215, ATCC 700823, CECT 754",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
5213,,"DSM 11067, ATCC 55075",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
5215,"H 1424/94","DSM 11503",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
155005,,"CCUG 56046",0,"Yersinia enterocolitica subsp. enterocolitica",Yersinia
5217,Y11,"DSM 13030, CCUG 52867, CECT 9144, CIP 106945, WDCM 00216",1,"Yersinia enterocolitica subsp. palearctica",Yersinia
143843,,"CCUG 21476",0,"Yersinia enterocolitica subsp. palearctica",Yersinia
5211,,"DSM 9676, CIP 81.41, WDCM 00039, CNY 134, CCUG 4586, CCUG 8233, LMG 15558, CECT 8206, NCTC 13629, IP 134",0,"Yersinia enterocolitica subsp. palearctica",Yersinia
