ID,designation_header,strain_number_header,is_type_strain_header,species,genus
166896,MC02,"LMG 31737, ATCC TSD-200, NRRL B65554",1,"Zemynaea arenosa",Zemynaea
164616,DSW4-44,"JCM 33637, KCCM 43261, KCTC 62762",1,"Zongyanglinia marina",Zongyanglinia
7477,A59836,"DSM 17449, IAM 14724, NBRC 15616, TISTR 1510, CCUG 50212, IFO 15616, JCM 12865, CIP 108566",0,"Zimmermannella alba",Zimmermannella
167639,,"NCCP 1664, KCTC 39549, DSM -29936",1,"Zafaria cholistanensis",Zafaria
11946,A10,"DSM 19928, VKM B-2478",1,"Zavarzinella formosa",Zavarzinella
164233,HR-AS,"JCM 32263, KACC 19412",1,"Zavarzinia aquatilis",Zavarzinia
66,Z-1155,"DSM 1231, ATCC 51430, CCUG 15334, LMG 5821, LMG 8357",1,"Zavarzinia compransoris",Zavarzinia
170107,Adcm-6A,"MCCC M24951, KCTC 82849",1,"Zavarzinia marina",Zavarzinia
140499,S2-22,"KACC 18503, JCM 31155",1,"Zeaxanthinibacter aestuarii",Zeaxanthinibacter
5729,TD-ZE3,"DSM 18435, CCUG 53613, NBRC 101990, CIP 109560",1,"Zeaxanthinibacter enoshimensis",Zeaxanthinibacter
169973,CC-­CFT501,"BCRC 81218, JCM 33506",1,"Zeimonas arvi",Zeimonas
170515,FT117,"MCCC 1K07396, KCTC 92314",1,"Zeimonas sediminis",Zeimonas
160794,NZ3,"DSM 107634, OCM 1213, JCM 32895",1,"Zestosphaera tikiterensis",Zestosphaera
159491,K32,"DSM 107278, CCAM 584, CGMCC 1.5297",1,"Zhaonella formicivorans",Zhaonella
159728,X9-2-2,"MCCC 1K03307, JCM 32107",1,"Zhengella mangrovi",Zhengella
169888,"NSJ 12","CGMCC 1.32465, KCTC 15954",1,"Zhenhengia yiwuensis",Zhenhengia
7785,,"DSM 21143, KCTC 19375, YIM 90734, JCM 16961, NBRC 109061",1,"Zhihengliuella alba",Zhihengliuella
24207,H85-3,"DSM 26152, NBRC 109021",1,"Zhihengliuella flava",Zhihengliuella
7784,,"DSM 17364, KCTC 19085, YIM 70185, JCM 15629, NBRC 107838",1,"Zhihengliuella halotolerans",Zhihengliuella
7786,,"DSM 21149, KCTC 19466, JSM 071043, NBRC 109062",1,"Zhihengliuella salsuginis",Zhihengliuella
131414,"JG 03","DSM 23187, IMCC 253, JCM 31986, KCTC 39767",1,"Zhihengliuella somnathii",Zhihengliuella
160757,,"DSM 18425, YIM 90732",0,"Zhihengliuella sp.",Zhihengliuella
140431,,"DSM 18444, YIM 91079",0,"Zhihengliuella sp.",Zhihengliuella
140432,,"DSM 18637, YIM 90737",0,"Zhihengliuella sp.",Zhihengliuella
132174,,"DSM 27262, BCRC 80649, KCTC 32557, YIM 78140, JCM 19651",1,"Caldimonas caldifontis",Caldimonas
158174,SM-2,"DSM 107354, JCM 30138, KACC 18120",1,"Zhongshania aliphaticivorans",Zhongshania
17921,ZS5-23,"DSM 25701, CCTCC AB 209246, KACC 14066",1,"Zhongshania antarctica",Zhongshania
140038,CL-AS9,"DSM 105348, JCM 17304, KCCM 90094",0,"Zhongshania borealis",Zhongshania
17922,ZS6-22,"DSM 25804, CCTCC AB 209247, KACC 14532",1,"Zhongshania guokunii",Zhongshania
162011,,"JCM 17372, KCCM 43273",1,"Zhongshania marina",Zhongshania
162012,,"JCM 17373",0,"Zhongshania sp.",Zhongshania
162013,,"JCM 17374",0,"Zhongshania sp.",Zhongshania
162015,,"JCM 17376",0,"Zhongshania sp.",Zhongshania
137379,HN-171,"CIP 109486, JCM 14016, CGMCC 1.6114",1,"Zhouia amylolytica",Zhouia
159859,HN-Y44,"MCCC 1K03329, LMG 30460",1,"Zhouia spongiae",Zhouia
150739,,"CCUG 42136",0,"Zimmermannella equis",Zimmermannella
150990,,"CCUG 42954",0,"Zimmermannella equis",Zimmermannella
153453,,"CCUG 49650",0,"Zimmermannella equis",Zimmermannella
161937,,"JCM 17110, KACC 15081",1,"Zobellella aerophila",Zobellella
296,ZD1,"DSM 19707, BCRC 17493, JCM 13380",1,"Zobellella denitrificans",Zobellella
161373,,"JCM 13529",0,"Zobellella denitrificans",Zobellella
159772,59N8,"ACCC 60074, KCTC 62456",1,"Zobellella endophytica",Zobellella
170605,CPY4,"CGMCC 1.18722, JCM 34456",1,"Zobellella iuensis",Zobellella
159782,102-Py4,"KCTC 62272, JCM 32359, DSM 106043",1,"Zobellella maritima",Zobellella
161558,,"JCM 14965, KCTC 22138",0,"Zobellella sp.",Zobellella
134181,ZT1,"BCRC 17494, JCM 13381",1,"Zobellella taiwanensis",Zobellella
